,RMSE,MAE,rRMSE_percent,R2
C01,3.833745628224091e-14,1.3701446282658098e-14,1.2859935744331106e-11,1.0
C02,3.25936726029579e-14,1.532879037547194e-14,1.370976712053055e-11,1.0
C03,4.057754265737373e-14,2.2929640990165282e-14,1.5204619962075576e-11,1.0
C05,5.105315103476973e-14,1.676822261289759e-14,2.690635735253401e-11,1.0
C06,4.4083704962381756e-14,1.8126500080470123e-14,3.260539790521943e-11,1.0
AVG,4.13291055079448e-14,1.7370920068332606e-14,2.0257215616938134e-11,1.0
