						MOLECULAR VOLUME	MIXING RATIOS	BY LAYER				
						molecular weight	s are in pare	ntheses				
	P(MB)	T(K)	H2O(18.0154)	CO2(44.0098)	O3(47.9982)	N2O(44.0128)	CO(28.0101)	CH4(16.0428)	O2(31.9988)	CCL4(153.8215)	CFC11(137.370)	CFC12(120.910)
38	10.32	227.74	4.76E-06	3.60E-04	7.42E-06	1.32E-07	1.76E-08	8.82E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
39	7.6	231.31	4.84E-06	3.60E-04	7.44E-06	1.12E-07	1.88E-08	8.15E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
40	5.8	236.24	4.90E-06	3.60E-04	7.37E-06	9.24E-08	2.01E-08	7.47E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
41	4.46	241.55	4.94E-06	3.60E-04	7.06E-06	7.23E-08	2.17E-08	6.79E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
42	3.37	247.21	4.99E-06	3.60E-04	6.38E-06	5.37E-08	2.38E-08	6.05E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
43	2.54	253.03	5.07E-06	3.60E-04	5.40E-06	3.78E-08	2.62E-08	5.24E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
44	1.95	258.57	5.16E-06	3.60E-04	4.42E-06	2.51E-08	2.90E-08	4.42E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
45	1.51	264.17	5.22E-06	3.60E-04	3.59E-06	1.63E-08	3.22E-08	3.65E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
46	1.17	269.01	5.24E-06	3.60E-04	2.94E-06	1.05E-08	3.62E-08	2.95E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
47	0.91	270.88	5.24E-06	3.60E-04	2.41E-06	6.43E-09	4.21E-08	2.36E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
48	0.71	269.37	5.21E-06	3.60E-04	1.99E-06	3.98E-09	4.92E-08	1.96E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
49	0.55	265.78	5.17E-06	3.60E-04	1.66E-06	3.09E-09	5.69E-08	1.75E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
50	0.43	260.94	5.09E-06	3.60E-04	1.41E-06	2.85E-09	6.65E-08	1.64E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
51	0.33	255.58	4.98E-06	3.60E-04	1.21E-06	2.57E-09	7.93E-08	1.57E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
52	0.25	249.97	4.84E-06	3.60E-04	1.06E-06	2.22E-09	9.66E-08	1.52E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
53	0.17	241.94	4.55E-06	3.60E-04	8.97E-07	1.84E-09	1.33E-07	1.50E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
54	0.1	230.92	4.07E-06	3.60E-04	7.61E-07	1.44E-09	1.99E-07	1.50E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
