AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,theta_trunc_cld,escape_alpha,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
0,0.12,0.5,45.0,0.7071067811865476,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,708.612933225858,570.9265696414756,137.6863635843825,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,45.0,0.7071067811865476,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,696.3762161707381,558.5186910977624,137.8575250729757,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,45.0,0.7071067811865476,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,674.825318068678,542.9684942603939,131.85682380828405,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,45.0,0.7071067811865476,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,660.6617219533462,528.3952536334021,132.266468319944,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,45.0,0.7071067811865476,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,626.4098786729483,502.9140404254152,123.49583824753307,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,45.0,0.7071067811865476,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,607.3733186098714,483.7204105624811,123.65290804739016,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,60.0,0.5000000000000001,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,482.9584186180755,361.3325647429361,121.62585387513938,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,60.0,0.5000000000000001,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,476.73345638015235,355.3187751913795,121.41468118877297,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,60.0,0.5000000000000001,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,461.216803856009,344.2285308056081,116.98827305040088,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,60.0,0.5000000000000001,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,453.68188245258153,336.739230817983,116.94265163459845,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,60.0,0.5000000000000001,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,437.0332674951579,325.3236039945153,111.70966350064258,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,60.0,0.5000000000000001,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,428.46716121109324,316.53957356388634,111.92758764720693,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,60.0,0.5000000000000001,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,402.3819907115553,298.3510331731062,104.03095753844909,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,60.0,0.5000000000000001,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,390.62985876521884,286.61444156506326,104.01541720015565,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,65.0,0.42261826174069944,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,389.1084368110787,278.3413250436595,110.76711176741921,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,65.0,0.42261826174069944,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,384.46539812120005,273.7319404337716,110.73345768742844,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,65.0,0.42261826174069944,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,370.6714523098741,264.4158720205376,106.25558028933648,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,65.0,0.42261826174069944,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,365.1501897216132,258.5935003961921,106.55668932542106,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,65.0,0.42261826174069944,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,350.3390238149867,249.04709201721798,101.2919317977687,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,65.0,0.42261826174069944,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,343.9700579264519,242.2407653826542,101.72929254379773,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,65.0,0.42261826174069944,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,321.24090765716215,227.12263446204744,94.1182731951147,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,65.0,0.42261826174069944,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,312.34941350106743,218.01091018527177,94.3385033157957,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,1104.4994220989302,869.3906790560429,235.10874304288734,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,1090.493525968946,856.6191020425556,233.87442392639034,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,1064.7254514283084,838.4420210373744,226.28343039093377,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,1046.6083722621013,821.8480538870831,224.7603183750181,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,1018.8874040480085,802.3863616444029,216.5010424036056,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,996.8006681167276,782.1616249577932,214.6390431589347,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,952.1706695005915,750.0196689102178,202.15100059037383,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,923.2655205913426,723.7541860351079,199.5113345562348,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,1060.8022542185213,829.299730280402,231.50252393811937,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890683,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,1047.3897921253972,816.9746599111394,230.41513221425794,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890683,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,1022.2400319519744,799.2509957234711,222.9890362285035,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890683,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,1004.8559608196042,783.2014782418793,221.6544825777248,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890683,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,978.0488827612621,764.7672091935972,213.28167356766485,0.0145,0.0288,0.4156,0.2031,0.0641
