source_server,AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,re_um,method,escape,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06
0.83,0,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.80696628941898,27.632394702703586,17.488946733092842,0.8878703973397631,0.7798676021940132,0.1074639956598792,0.0940291982108468,0.1197372459519208,0.0637096099831692,0.042839547663456
0.83,0,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.744856339491804,27.38862123020521,17.158453513552367,0.8800055419079582,0.7617296196365607,0.1068463770599262,0.0931996709689733,0.1174745397685529,0.0631452631216952,0.041843195249145
0.83,0,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674778,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.78051828745767,27.422208675938364,17.10055760368899,0.9032892454635586,0.752605351329996,0.1072009978960418,0.0933139643780758,0.1170781581622322,0.0648159975857967,0.0413419825741812
0.83,0,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.751249113597224,27.41747588341161,17.214350589753767,0.9113199126021524,0.7646556375940416,0.1069099465233928,0.0932978593429756,0.1178572364548237,0.0653922423539942,0.0420039267443385
0.83,0,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.733601062228397,26.87940026868538,16.51575112014279,0.8962350944329811,0.7352905410906481,0.1067344550797337,0.0914668628197331,0.1130743082550133,0.0643098232474395,0.0403908485144441
0.83,0,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.838433397200957,26.88263538423095,16.287601446332772,0.921173736566254,0.7073932590346709,0.1077769031904062,0.0914778714682466,0.1115122923129584,0.0660993087045299,0.0388584000052925
0.83,0,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.73008713229415,27.09019573172975,16.815036673030804,0.8832110688410831,0.7219662989851561,0.1066995127156058,0.0921841704794491,0.1151233526258902,0.0633752774022837,0.0396589236298204
0.83,0,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280877004,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.71694102462702,26.185292126708127,15.668465180588132,0.9179706456968622,0.6699396699728375,0.1065687884013579,0.0891049092951131,0.1072734051769513,0.0658694692249831,0.0368010061486071
0.83,0,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.885169856918,26.17065925290992,15.223064407467506,0.9242680226548328,0.6321536120211291,0.1082416484824414,0.0890551156595788,0.1042239898672571,0.0663213408394793,0.034725349170317
0.83,0,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,5.0,dM,g2,0.013735,0.023839,0.126622,0.081469,0.041332,10.71610534374604,26.493302240140427,15.992510681122988,0.9130498403458494,0.6225972394029762,0.1065604784275723,0.0901530248970532,0.1094919673573562,0.0655163742342554,0.0342004002185804
