,RMSE,MAE,rRMSE_percent,R2
C01,3.6985172386322465e-14,1.3628830207247843e-14,1.2311986673990422e-11,1.0
C02,3.2364226129855495e-14,1.541487946987895e-14,1.3318064913839213e-11,1.0
C03,4.0130338962837126e-14,2.2928005393745077e-14,1.5393842616457944e-11,1.0
C05,5.986793614712997e-14,1.9636439189841585e-14,2.5909794314755427e-11,1.0
C06,5.1684320166965634e-14,2.3509929397878803e-14,3.06426279337541e-11,1.0
AVG,4.420639875862214e-14,1.902361673171845e-14,1.9515263290559423e-11,1.0
