1430,0.000105,0.0001442,1.0001
1440,0.000121,0.0001683,1.0001
1450,0.0001341,0.0001879,1
1460,0.0001572,0.0002223,1
1470,0.0001698,0.0002425,1
1480,0.0001968,0.0002838,1
1490,0.0002175,0.0003143,1
1500,0.0002431,0.0003527,1
1510,0.0002735,0.0004012,1
1520,0.0002867,0.0004237,1
1530,0.000319,0.0004747,1
1540,0.0003371,0.0005057,1
1550,0.0003554,0.0005409,1
1560,0.0003726,0.0005734,1
1570,0.0003837,0.0005944,1
1580,0.0003878,0.0006077,1
1590,0.0003864,0.0006175,1
1600,0.0003858,0.0006238,1
1610,0.0003841,0.0006226,1
1620,0.0003852,0.0006248,1
1630,0.0003815,0.0006192,1
1640,0.0003762,0.0006098,1
1650,0.0003618,0.0005818,1
1660,0.0003579,0.0005709,1
1670,0.000345,0.0005465,1
1680,0.0003202,0.0005043,1
1690,0.0003018,0.0004699,1
1700,0.0002785,0.0004294,1
1710,0.0002602,0.0003984,1
1720,0.0002416,0.0003672,1
1730,0.0002097,0.0003152,1
1740,0.0001939,0.0002883,1
1750,0.0001689,0.0002503,1
1760,0.0001498,0.0002211,1
1770,0.0001308,0.000192,1
1780,0.000117,0.0001714,1
1790,0.0001011,0.0001485,1
1800,9.237e-05,0.0001358,1
1810,7.909e-05,0.0001156,1
1820,7.006e-05,0.0001021,1
1830,6.112e-05,8.887e-05,1
1840,5.401e-05,7.842e-05,1
1850,4.914e-05,7.12e-05,1
1860,4.266e-05,6.186e-05,1
1870,3.963e-05,5.73e-05,1
1880,3.316e-05,4.792e-05,1
1890,3.037e-05,4.364e-05,1
1900,2.598e-05,3.72e-05,1
1910,2.294e-05,3.28e-05,1
1920,2.066e-05,2.946e-05,1
1930,1.813e-05,2.591e-05,1
1940,1.583e-05,2.261e-05,1
1950,1.423e-05,2.048e-05,1
1960,1.247e-05,1.813e-05,1
1970,1.116e-05,1.63e-05,1
1980,9.76e-06,1.447e-05,1
1990,8.596e-06,1.282e-05,1
2000,7.72e-06,1.156e-05,1
2010,7.091e-06,1.072e-05,1
2020,6.499e-06,9.922e-06,1
2030,5.801e-06,8.919e-06,1
2040,5.15e-06,7.974e-06,1
2050,4.5e-06,7.05e-06,1
2060,4e-06,6.301e-06,1
2070,3.509e-06,5.559e-06,1
2080,3.1e-06,4.978e-06,1
2090,2.714e-06,4.371e-06,1
2100,2.406e-06,3.941e-06,1
2110,2.108e-06,3.479e-06,1
2120,1.875e-06,3.119e-06,1
2130,1.669e-06,2.795e-06,1
2140,1.555e-06,2.624e-06,1
2150,1.444e-06,2.458e-06,1
2160,1.345e-06,2.321e-06,1
2170,1.257e-06,2.192e-06,1
2180,1.175e-06,2.077e-06,1
2190,1.102e-06,1.966e-06,1
2200,1.035e-06,1.863e-06,1
2210,9.745e-07,1.775e-06,1
2220,9.194e-07,1.691e-06,1
2230,8.685e-07,1.617e-06,1
2240,8.222e-07,1.545e-06,1
2250,7.798e-07,1.484e-06,1
2260,7.412e-07,1.422e-06,1
2270,7.052e-07,1.371e-06,1
2280,6.724e-07,1.32e-06,1
2290,6.42e-07,1.275e-06,1
2300,6.143e-07,1.233e-06,1
2310,5.886e-07,1.187e-06,1
2320,5.649e-07,1.145e-06,1
2330,5.43e-07,1.118e-06,1
2340,5.228e-07,1.082e-06,1
2350,5.041e-07,1.048e-06,1
2360,4.868e-07,1.02e-06,1
2370,4.708e-07,9.889e-07,1
2380,4.559e-07,9.649e-07,1
2390,4.421e-07,9.368e-07,1
2400,4.293e-07,9.174e-07,1
2410,4.174e-07,8.96e-07,1
2420,4.064e-07,8.763e-07,1
2430,3.961e-07,8.566e-07,1
2440,3.865e-07,8.381e-07,1
2450,3.775e-07,8.192e-07,1
2460,3.692e-07,8.033e-07,1
2470,3.614e-07,7.864e-07,1
2480,3.542e-07,7.715e-07,1
2490,3.474e-07,7.563e-07,1
2500,3.411e-07,7.429e-07,1
2510,3.353e-07,7.282e-07,1
2520,3.298e-07,7.149e-07,1
2530,3.248e-07,7.011e-07,1
2540,3.201e-07,6.901e-07,1
2550,3.158e-07,6.771e-07,1
2560,3.119e-07,6.671e-07,1
2570,3.084e-07,6.577e-07,1
2580,3.053e-07,6.476e-07,1
2590,3.025e-07,6.376e-07,1
2600,3.003e-07,6.313e-07,1
2610,2.988e-07,6.233e-07,1
2620,2.976e-07,6.171e-07,1
2630,2.977e-07,6.163e-07,1
2640,2.989e-07,6.162e-07,1
2650,3.015e-07,6.186e-07,1
2660,3.057e-07,6.241e-07,1
2670,3.112e-07,6.337e-07,1
2680,3.161e-07,6.42e-07,1
2690,3.186e-07,6.421e-07,1
2700,3.176e-07,6.368e-07,1
2710,3.142e-07,6.269e-07,1
2720,3.099e-07,6.141e-07,1
2730,3.065e-07,6.023e-07,1
2740,3.011e-07,5.886e-07,1
2750,2.955e-07,5.73e-07,1
2760,2.914e-07,5.601e-07,1
2770,2.884e-07,5.496e-07,1
2780,2.864e-07,5.414e-07,1
2790,2.858e-07,5.354e-07,1
2800,2.851e-07,5.285e-07,1
2810,2.857e-07,5.233e-07,1
2820,2.87e-07,5.199e-07,1
2830,2.888e-07,5.168e-07,1
2840,2.914e-07,5.145e-07,1
2850,2.948e-07,5.125e-07,1
2860,2.99e-07,5.112e-07,1
2870,3.042e-07,5.125e-07,1
2880,3.105e-07,5.135e-07,1
2890,3.185e-07,5.209e-07,1
2900,3.276e-07,5.256e-07,1
2910,3.385e-07,5.357e-07,1
2920,3.511e-07,5.503e-07,1
2930,3.646e-07,5.636e-07,1
2940,3.858e-07,5.891e-07,1
2950,4.081e-07,6.194e-07,1
2960,4.335e-07,6.511e-07,1
2970,4.643e-07,6.915e-07,1
2980,5.011e-07,7.401e-07,1
2990,5.494e-07,8.004e-07,1
3000,5.953e-07,8.606e-07,1
3010,6.354e-07,9.087e-07,1
3020,7.116e-07,1.003e-06,1
3030,7.498e-07,1.043e-06,1
3040,8.613e-07,1.19e-06,1
3050,9.35e-07,1.293e-06,1
3060,1.002e-06,1.398e-06,1
3070,1.09e-06,1.508e-06,1
3080,1.174e-06,1.649e-06,1
3090,1.23e-06,1.735e-06,1
3100,1.288e-06,1.852e-06,1
3110,1.334e-06,1.955e-06,1
3120,1.383e-06,2.056e-06,1
3130,1.38e-06,2.079e-06,1
3140,1.39e-06,2.127e-06,1
3150,1.373e-06,2.117e-06,1
3160,1.354e-06,2.109e-06,1
3170,1.335e-06,2.101e-06,1
3180,1.343e-06,2.122e-06,1
3190,1.323e-06,2.097e-06,1
3200,1.349e-06,2.142e-06,1
3210,1.353e-06,2.139e-06,1
3220,1.362e-06,2.138e-06,1
3230,1.344e-06,2.097e-06,1
3240,1.329e-06,2.069e-06,1
3250,1.336e-06,2.072e-06,1
3260,1.327e-06,2.038e-06,1
3270,1.325e-06,2.02e-06,1
3280,1.359e-06,2.052e-06,1
3290,1.374e-06,2.046e-06,1
3300,1.415e-06,2.077e-06,1
3310,1.462e-06,2.103e-06,1
3320,1.526e-06,2.163e-06,1
3330,1.619e-06,2.244e-06,1
3340,1.735e-06,2.388e-06,1
3350,1.863e-06,2.552e-06,1
3360,2.034e-06,2.773e-06,1
3370,2.265e-06,3.067e-06,1
3380,2.482e-06,3.36e-06,1
3390,2.756e-06,3.714e-06,1
3400,3.103e-06,4.172e-06,1
3410,3.466e-06,4.643e-06,1
3420,3.832e-06,5.116e-06,1
3430,4.378e-06,5.831e-06,1
3440,4.913e-06,6.522e-06,1
3450,5.651e-06,7.478e-06,1
3460,6.311e-06,8.312e-06,1
3470,7.169e-06,9.407e-06,1
3480,8.057e-06,1.051e-05,1
3490,9.253e-06,1.207e-05,1
3500,1.047e-05,1.359e-05,1
3510,1.212e-05,1.568e-05,1
3520,1.36e-05,1.759e-05,1
3530,1.569e-05,2.029e-05,1
3540,1.776e-05,2.284e-05,1
