index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
61,2021-02-17 04:00:00,674.5,52.34949982441862,654.523532434226,270.09,18.07,0.142,0.1315,0.1515,0.036,0.1733,0.1445,47.8,96.64,1.32,0.095,0.004,0.018,0.174,0.083,0.048,0.257,0.098,0.075,0.272,0.14,0.086,0.22,0.008,0.052,0.217,0.089,0.065,0.0706180678132729,0.07095954,0.1211170513804891,0.1235764159999999,0.1690541047350417,0.172218382,0.1757903657065227,0.180010268,0.1489667829135468,0.149877128,0.141462498546023,0.144291946,26.586575803131353
60,2021-02-17 03:00:00,620.9,55.86778543783272,594.5326572741722,268.45,20.87,0.1288,0.1033,0.1075,0.0345,0.1433,0.1155,47.8,93.68,1.32,0.095,0.004,0.018,0.174,0.083,0.048,0.257,0.098,0.075,0.272,0.14,0.086,0.22,0.008,0.052,0.217,0.089,0.065,0.0705639167064942,0.07095954,0.1240337332499885,0.1235764159999999,0.1722704322492788,0.172218382,0.1806475581684253,0.180010268,0.1486598783117788,0.149877128,0.1444220802479859,0.144291946,44.20419767764972
55,2021-02-16 02:00:00,496.3,62.65614766561239,473.04279520488626,271.01,18.62,0.1015,0.0768,0.0778,0.029,0.1113,0.083,47.8,91.58,1.32,0.095,0.004,0.018,0.174,0.083,0.048,0.257,0.098,0.075,0.272,0.14,0.086,0.219,0.008,0.052,0.217,0.089,0.065,0.0705156514536474,0.07095954,0.1311159615521916,0.1235764159999999,0.1801774758628312,0.172218382,0.192468413705986,0.180010268,0.1471659907652852,0.148877128,0.1516802588214187,0.144291946,59.3849401393326
51,2021-02-15 02:00:00,475.3,62.95800334202971,468.28982339727867,271.48999999999995,29.86,0.1,0.0785,0.0773,0.026,0.111,0.0795,47.8,91.92,1.32,0.097,0.004,0.019,0.173,0.083,0.048,0.256,0.098,0.075,0.273,0.141,0.086,0.219,0.008,0.052,0.219,0.09,0.066,0.0710852559851536,0.071581918,0.1304787054773454,0.1225764159999999,0.1795851352411786,0.171218382,0.1943894021690315,0.181199452,0.1471475949652655,0.148877128,0.1529385809032848,0.145103508,59.195220688090814
40,2021-02-09 02:00:00,397.6,64.67671401340361,437.3662841586623,271.60999999999996,56.25,0.1058,0.0798,0.0715,0.027,0.1063,0.0745,47.8,93.9,1.32,0.1,0.004,0.019,0.179,0.086,0.05,0.267,0.102,0.078,0.294,0.152,0.093,0.228,0.008,0.054,0.231,0.095,0.07,0.0740812498924709,0.074581918,0.1367860830777941,0.1263887239999999,0.1900703074697257,0.178842252,0.2127406711861462,0.194637122,0.1531760915109259,0.155121884,0.1631526946004701,0.15253894,58.05954844743829
64,2021-02-19 05:00:00,604.0,51.72188446966378,662.9668824200294,281.73999999999995,23.37,0.152,0.15,0.176,0.0315,0.1975,0.1635,47.8,99.3,1.32,0.095,0.004,0.019,0.174,0.083,0.048,0.257,0.098,0.075,0.272,0.14,0.086,0.22,0.008,0.052,0.217,0.089,0.065,0.0692398587978728,0.0695819179999999,0.1206466868432815,0.1235764159999999,0.1685385921160797,0.172218382,0.1750079333621306,0.180010268,0.1490244839927886,0.149877128,0.1409875597853769,0.144291946,7.857277130379686
25,2021-02-03 05:00:00,526.7,56.93623221804199,580.1339652346943,275.26,27.21,0.1448,0.1368,0.1578,0.0305,0.1793,0.1458,47.8,104.42,1.32,0.102,0.004,0.02,0.182,0.087,0.051,0.271,0.103,0.079,0.29,0.15,0.092,0.235,0.008,0.055,0.23,0.095,0.069,0.0747349440441493,0.0752042959999999,0.1296896557691506,0.128200286,0.1828498496177869,0.181653814,0.1940803021979383,0.191636376,0.159348613759826,0.1607442619999999,0.1541374128725427,0.1529165619999999,8.685891250575793
70,2021-02-22 04:00:00,673.2,50.557235281170016,679.0302056532747,281.71999999999997,25.47,0.1455,0.1335,0.1523,0.029,0.177,0.1443,47.8,94.92,1.32,0.095,0.004,0.018,0.174,0.083,0.048,0.257,0.098,0.075,0.271,0.14,0.086,0.221,0.008,0.052,0.217,0.089,0.065,0.0706520863859586,0.07095954,0.1198122771037473,0.1235764159999999,0.1676267258624649,0.172218382,0.1726206506045199,0.179010268,0.1501336543279183,0.150877128,0.1401469807101847,0.144291946,26.706103444340982
28,2021-02-05 04:00:00,525.6,56.26923747612447,591.6674091272346,280.69,22.87,0.1418,0.1248,0.1388,0.0303,0.1593,0.1258,47.8,100.5,1.32,0.102,0.004,0.02,0.182,0.087,0.051,0.271,0.103,0.079,0.29,0.15,0.092,0.235,0.008,0.055,0.23,0.095,0.069,0.0747475248542537,0.0752042959999999,0.1290419656078712,0.128200286,0.1821277202369912,0.181653814,0.1929733576030748,0.191636376,0.1594097645511694,0.1607442619999999,0.1534621002138078,0.1529165619999999,26.006795829903893
43,2021-02-09 05:00:00,508.7,55.08546756351882,611.7663484486201,278.71999999999997,32.71,0.1523,0.1408,0.1578,0.0298,0.1828,0.1495,47.8,102.6,1.32,0.1,0.004,0.019,0.179,0.086,0.05,0.267,0.102,0.078,0.294,0.152,0.093,0.228,0.008,0.054,0.231,0.095,0.07,0.0741729522429074,0.074581918,0.1261406143780759,0.1263887239999999,0.1781023334625847,0.178842252,0.1940882990013361,0.194637122,0.153922601114855,0.155121884,0.1519128914052009,0.15253894,8.51755696752241
