cern_site,cern_lat,cern_lon,matched_carsnet_site,carsnet_lat,carsnet_lon,distance_km,suggested_AOD_fixed,aod_method,match_quality,top3_candidates
QYF,41.850000,124.933300,LongFS,44.733300,127.600000,386.436174,0.124892,pooled_median_after_tukey_filter,weak,LongFS:386.4km; Dalian:430.9km; Shangdianzi:666.7km
NMD,42.933333,120.700000,Xilinhot,43.950000,116.116667,386.860599,0.074374,pooled_median_after_tukey_filter,weak,Xilinhot:386.9km; Shangdianzi:390.7km; Dalian:455.3km
ALF,24.533333,101.016667,Shangrila,28.033333,100.216667,397.266759,0.054709,pooled_median_after_tukey_filter,weak,Shangrila:397.3km; Nanning:763.4km; Lhasa:1131.9km
DHF,23.166667,112.550000,Nanning,22.633333,108.216667,447.794128,0.329491,pooled_median_after_tukey_filter,weak,Nanning:447.8km; Jinsha:737.6km; LinAn:1057.3km
HSF,22.683333,112.900000,Nanning,22.633333,108.216667,480.581875,0.329491,pooled_median_after_tukey_filter,weak,Nanning:480.6km; Jinsha:783.6km; LinAn:1076.4km
YGA,31.266667,105.450000,XiAn,34.433333,108.966667,481.488529,0.328660,pooled_median_after_tukey_filter,weak,XiAn:481.5km; Shangrila:620.4km; Waliguan:698.4km
PDF,26.366700,105.750000,Nanning,22.633333,108.216667,484.344233,0.329491,pooled_median_after_tukey_filter,weak,Nanning:484.3km; Shangrila:577.7km; Jinsha:905.3km
HTF,26.850000,109.600000,Nanning,22.633333,108.216667,489.226245,0.329491,pooled_median_after_tukey_filter,weak,Nanning:489.2km; Jinsha:546.6km; XiAn:845.4km
SYB,18.216667,109.483333,Nanning,22.633333,108.216667,508.526729,0.329491,pooled_median_after_tukey_filter,weak,Nanning:508.5km; Jinsha:1356.5km; Shangrila:1444.2km
MXF,31.700000,103.900000,Shangrila,28.033333,100.216667,540.631041,0.054709,pooled_median_after_tukey_filter,weak,Shangrila:540.6km; XiAn:561.4km; Waliguan:579.8km
SJM,47.583333,133.516667,LongFS,44.733300,127.600000,554.818600,0.124892,pooled_median_after_tukey_filter,weak,LongFS:554.8km; Dalian:1360.4km; Xilinhot:1405.4km
DYB,22.533333,114.516667,Nanning,22.633333,108.216667,646.860246,0.329491,pooled_median_after_tukey_filter,weak,Nanning:646.9km; Jinsha:790.1km; LinAn:997.9km
BNF,21.916667,101.266667,Shangrila,28.033333,100.216667,688.314882,0.054709,pooled_median_after_tukey_filter,weak,Shangrila:688.3km; Nanning:719.5km; Lhasa:1329.9km
