cern_site,cern_lat,cern_lon,matched_carsnet_site,carsnet_lat,carsnet_lon,distance_km,suggested_AOD_fixed,aod_method,match_quality,top3_candidates,source_wavelength_nm,target_wavelength_nm,angstrom_exponent,conversion_factor_550_to_497p5,suggested_AOD_fixed_497p5nm
HTF,26.850000,109.600000,Nanning,22.633333,108.216667,489.226245,0.217688,pooled_p20_after_tukey_filter,distant,Nanning (489.2 km); Jinsha (546.6 km); XiAn (845.4 km),550.000000,497.500000,1.300000,1.139306,0.248013
JZB,36.050000,120.266667,Dalian,38.900000,121.633333,339.065999,0.102221,pooled_p20_after_tukey_filter,distant,Dalian (339.1 km); Tianjin (432.1 km); Gucheng (493.8 km),550.000000,497.500000,1.300000,1.139306,0.116461
LCA,37.884000,114.684167,Yushe,37.066667,112.983333,175.458379,0.134817,pooled_p20_after_tukey_filter,fair,Yushe (175.5 km); Gucheng (206.2 km); Daxing (218.3 km),550.000000,497.500000,1.300000,1.139306,0.153598
LSA,29.666667,91.333333,Lhasa,29.666667,91.133333,19.323920,0.043431,pooled_p20_after_tukey_filter,excellent,Lhasa (19.3 km); Shangrila (883.8 km); Waliguan (1155.5 km),550.000000,497.500000,1.300000,1.139306,0.049481
LZD,39.333333,100.116667,Minqin,38.633333,103.083333,267.961763,0.107147,pooled_p20_after_tukey_filter,fair,Minqin (268.0 km); Ejina (301.8 km); Waliguan (346.1 km),550.000000,497.500000,1.300000,1.139306,0.122073
MXF,31.700000,103.900000,Shangrila,28.033333,100.216667,540.631041,0.036038,pooled_p20_after_tukey_filter,distant,Shangrila (540.6 km); XiAn (561.4 km); Waliguan (579.8 km),550.000000,497.500000,1.300000,1.139306,0.041058
NMD,42.933333,120.700000,Xilinhot,43.950000,116.116667,386.860599,0.036559,pooled_p20_after_tukey_filter,distant,Xilinhot (386.9 km); Shangdianzi (390.7 km); Dalian (455.3 km),550.000000,497.500000,1.300000,1.139306,0.041652
NMG,43.633333,116.700000,Xilinhot,43.950000,116.116667,58.584866,0.036559,pooled_p20_after_tukey_filter,good,Xilinhot (58.6 km); Shangdianzi (333.5 km); Nanjiao (426.7 km),550.000000,497.500000,1.300000,1.139306,0.041652
PDF,26.366700,105.750000,Nanning,22.633333,108.216667,484.344233,0.217688,pooled_p20_after_tukey_filter,distant,Nanning (484.3 km); Shangrila (577.7 km); Jinsha (905.3 km),550.000000,497.500000,1.300000,1.139306,0.248013
QYA,26.733333,115.050000,Jinsha,29.633333,114.200000,333.048954,0.119018,pooled_p20_after_tukey_filter,distant,Jinsha (333.0 km); LinAn (597.0 km); Shouxian (653.9 km),550.000000,497.500000,1.300000,1.139306,0.135598
QYF,41.850000,124.933300,LongFS,44.733300,127.600000,386.436174,0.079027,pooled_p20_after_tukey_filter,distant,LongFS (386.4 km); Dalian (430.9 km); Shangdianzi (666.7 km),550.000000,497.500000,1.300000,1.139306,0.090036
