site,site_file,lon,lat,height_m,n_2023,n_2024,AOD_mean_2023,AOD_mean_2024,AOD_median_2023,AOD_median_2024,AOD_std_2023,AOD_std_2024,AOD_min_2023,AOD_min_2024,AOD_max_2023,AOD_max_2024,AOD_p10_2023,AOD_p10_2024,AOD_p20_2023,AOD_p20_2024,AOD_p25_2023,AOD_p25_2024,AOD_p75_2023,AOD_p75_2024,AOD_p90_2023,AOD_p90_2024,AOD_filtered_mean_2023,AOD_filtered_mean_2024,AOD_filtered_median_2023,AOD_filtered_median_2024,AOD_filtered_min_2023,AOD_filtered_min_2024,AOD_filtered_max_2023,AOD_filtered_max_2024,AOD_filtered_p25_2023,AOD_filtered_p25_2024,AOD_filtered_p20_2023,AOD_filtered_p20_2024,AOD_filtered_p75_2023,AOD_filtered_p75_2024,AOD_outlier_lower_2023,AOD_outlier_lower_2024,AOD_outlier_upper_2023,AOD_outlier_upper_2024,AOD_mean_all,AOD_median_all,AOD_std_all,AOD_min_all,AOD_max_all,AOD_p10_all,AOD_p20_all,AOD_p25_all,AOD_p75_all,AOD_p90_all,AOD_filtered_mean_all,AOD_filtered_median_all,AOD_filtered_std_all,AOD_filtered_min_all,AOD_filtered_max_all,AOD_filtered_p10_all,AOD_filtered_p20_all,AOD_filtered_p25_all,AOD_filtered_p75_all,AOD_filtered_p90_all,AOD_outlier_lower_all,AOD_outlier_upper_all,AOD_outlier_removed_count_all,AOD_outlier_removed_fraction_all,suggested_AOD_fixed,suggested_method
Minqin,Minqin,103.083333,38.633333,1367.500000,1863,1788,0.294141,0.230906,0.195479,0.181330,0.387120,0.150789,0.024656,0.043442,4.710894,1.169604,0.078908,0.089470,0.106927,0.112054,0.122087,0.123078,0.330604,0.298384,0.544546,0.460841,0.217852,0.212382,0.186471,0.176073,0.024656,0.043442,0.638911,0.561282,0.116358,0.121620,0.100737,0.110339,0.280846,0.277958,-0.190689,-0.139883,0.643381,0.561344,0.263173,0.188600,0.297627,0.024656,4.710894,0.082509,0.110303,0.122760,0.312651,0.507232,0.215969,0.180501,0.129218,0.024656,0.597104,0.080603,0.107147,0.119829,0.280845,0.416644,-0.162075,0.597486,203,0.055601,0.107147,pooled_p20_after_tukey_filter
Ejina,Ejina,101.066667,41.950000,940.500000,6507,0,0.229799,,0.178226,,0.210230,,0.029258,,3.215280,,0.093853,,0.110210,,0.119301,,0.265517,,0.399200,,0.192616,,0.169878,,0.029258,,0.484603,,0.116643,,0.108188,,0.246436,,-0.100024,,0.484841,,0.229799,0.178226,0.210230,0.029258,3.215280,0.093853,0.110210,0.119301,0.265517,0.399200,0.192616,0.169878,0.096653,0.029258,0.484603,0.092790,0.108188,0.116643,0.246436,0.341597,-0.100024,0.484841,366,0.056247,0.108188,pooled_p20_after_tukey_filter
Nanjiao,Nanjiao,116.466667,39.800000,31.300000,23147,6789,0.337949,0.319674,0.226547,0.197131,0.317475,0.332200,0.040664,0.018707,4.627958,3.770080,0.094327,0.058057,0.122593,0.082309,0.135769,0.097548,0.432461,0.408066,0.715318,0.733559,0.281399,0.241766,0.214682,0.172121,0.040664,0.018707,0.877447,0.873784,0.131521,0.092271,0.118939,0.079062,0.383150,0.348059,-0.309271,-0.368229,0.877501,0.873843,0.333804,0.221893,0.320959,0.018707,4.627958,0.086153,0.112614,0.127591,0.424937,0.716887,0.271914,0.207327,0.193545,0.018707,0.870796,0.084756,0.108471,0.123739,0.372848,0.575769,-0.318427,0.870956,1875,0.062634,0.108471,pooled_p20_after_tukey_filter
LinAn,LinAn,119.700000,30.216667,117.600000,239,6070,0.684547,0.258858,0.615459,0.213765,0.456236,0.202112,0.190417,0.021793,3.621250,4.244385,0.245678,0.084777,0.310660,0.112049,0.378930,0.123690,0.909956,0.339878,1.156080,0.500643,0.634715,0.239166,0.612160,0.206891,0.190417,0.021793,1.547410,0.663774,0.377899,0.122257,0.296686,0.110287,0.891906,0.323154,-0.417608,-0.200592,1.706494,0.664160,0.274984,0.222050,0.231864,0.021793,4.244385,0.086497,0.114607,0.125436,0.358401,0.536958,0.247871,0.214220,0.153638,0.021793,0.707320,0.084962,0.112371,0.123938,0.335421,0.481188,-0.224012,0.707849,208,0.032969,0.112371,pooled_p20_after_tukey_filter
Jinsha,Jinsha,114.200000,29.633333,751.400000,5387,532,0.224401,0.142852,0.173291,0.106115,0.185634,0.098149,0.055924,0.035756,2.787246,0.578881,0.108957,0.060719,0.130487,0.066819,0.142220,0.077216,0.244819,0.174464,0.365380,0.269903,0.184121,0.124314,0.168616,0.103062,0.055924,0.035756,0.397997,0.313225,0.138452,0.075001,0.126967,0.065278,0.215665,0.155625,-0.011678,-0.068656,0.398718,0.320336,0.217071,0.170596,0.181027,0.035756,2.787246,0.102670,0.122478,0.133871,0.239186,0.355824,0.179123,0.165435,0.071526,0.035756,0.396757,0.101041,0.119018,0.128867,0.213204,0.292185,-0.024103,0.397159,456,0.077040,0.119018,pooled_p20_after_tukey_filter
Tianjin,Tianjin,117.175000,39.066670,6.500000,16897,955,0.367513,0.304698,0.267589,0.184118,0.306207,0.265045,0.030964,0.035606,3.659972,1.683508,0.100661,0.077104,0.137406,0.094394,0.156337,0.107804,0.480115,0.441671,0.775663,0.694555,0.318401,0.280927,0.251775,0.178928,0.030964,0.035606,0.965709,0.931553,0.151310,0.104775,0.133995,0.093022,0.438380,0.419230,-0.329330,-0.392997,0.965782,0.942473,0.364153,0.264398,0.304468,0.030964,3.659972,0.098135,0.134383,0.152326,0.477895,0.771699,0.316539,0.248499,0.216258,0.030964,0.965709,0.096142,0.131116,0.147123,0.437203,0.657537,-0.336028,0.966248,886,0.049630,0.131116,pooled_p20_after_tukey_filter
Yushe,Yushe,112.983333,37.066667,1041.400000,6821,5002,0.468601,0.235469,0.403340,0.180076,0.310853,0.213796,0.034817,0.027040,4.019023,3.876607,0.143027,0.071605,0.231539,0.096450,0.258741,0.109300,0.643968,0.279506,0.825239,0.467188,0.442805,0.194673,0.397135,0.170806,0.034817,0.027040,1.217876,0.534712,0.256321,0.104107,0.229050,0.091721,0.624299,0.259225,-0.319099,-0.146008,1.221808,0.534815,0.369969,0.290404,0.297233,0.027040,4.019023,0.084983,0.137360,0.164475,0.497829,0.740819,0.340194,0.280981,0.226882,0.027040,0.997746,0.083652,0.134817,0.161223,0.468849,0.698181,-0.335556,0.997861,334,0.028250,0.134817,pooled_p20_after_tukey_filter
Urumqi,Urumqi,87.616667,43.783333,935.000000,2820,6977,0.329728,0.202629,0.254823,0.183993,0.296440,0.082011,0.057290,0.043478,4.481550,0.540537,0.139205,0.112456,0.168619,0.138175,0.181948,0.146783,0.381833,0.252189,0.586416,0.320885,0.276559,0.198650,0.239182,0.182769,0.057290,0.043478,0.681549,0.410055,0.176761,0.146203,0.164663,0.137357,0.344289,0.247456,-0.117878,-0.011326,0.681659,0.410298,0.239214,0.198135,0.182729,0.043478,4.481550,0.117012,0.143951,0.153117,0.283239,0.378417,0.213616,0.193986,0.087372,0.043478,0.477257,0.115855,0.142437,0.151381,0.270654,0.343774,-0.042066,0.478422,424,0.043279,0.142437,pooled_p20_after_tukey_filter
Dunhuang,Dunhuang,94.683333,40.150000,1139.000000,8049,1320,0.375779,0.209343,0.252430,0.122905,0.382740,0.304482,0.056612,0.016811,4.712362,3.192978,0.141924,0.058411,0.171948,0.076331,0.184975,0.081362,0.386617,0.186085,0.767256,0.395244,0.266277,0.124463,0.235414,0.110735,0.056612,0.016811,0.688482,0.339868,0.177067,0.078566,0.165459,0.072704,0.321613,0.157673,-0.117488,-0.075722,0.689080,0.343169,0.352330,0.237767,0.377167,0.016811,4.712362,0.115827,0.152202,0.165647,0.366088,0.733805,0.245035,0.219319,0.125729,0.016811,0.666508,0.110720,0.144266,0.157643,0.305358,0.415568,-0.135015,0.666750,1110,0.118476,0.144266,pooled_p20_after_tukey_filter
Gucheng,Gucheng,116.333333,39.216667,15.500000,16562,853,0.393823,0.584196,0.286614,0.458724,0.319336,0.370789,0.045336,0.061278,3.718807,3.036929,0.121551,0.235249,0.156739,0.299401,0.173223,0.324059,0.521937,0.751803,0.774542,1.163344,0.340714,0.555696,0.274259,0.452867,0.045336,0.061278,1.044592,1.389464,0.169718,0.318494,0.153555,0.297267,0.457023,0.683458,-0.349847,-0.317557,1.045007,1.393419,0.403148,0.294382,0.324646,0.045336,3.718807,0.122687,0.159207,0.175778,0.531856,0.800466,0.346982,0.280674,0.223296,0.045336,1.065316,0.120572,0.155267,0.171637,0.469595,0.690151,-0.358338,1.065972,977,0.056101,0.155267,pooled_p20_after_tukey_filter
Zhengzhou,Zhengzhou,113.650000,34.716667,110.400000,750,570,0.766282,0.267532,0.582307,0.186450,0.612534,0.229820,0.130317,0.036830,4.661563,2.151319,0.360182,0.083805,0.414999,0.102721,0.445556,0.117317,0.807430,0.342867,1.268874,0.593436,0.619639,0.236884,0.560558,0.179280,0.130317,0.036830,1.349557,0.676868,0.434753,0.116812,0.409141,0.100278,0.750684,0.317769,-0.097256,-0.221010,1.350243,0.681194,0.550913,0.451990,0.544904,0.036830,4.661563,0.114387,0.171095,0.216462,0.658731,0.988481,0.453571,0.433254,0.286132,0.036830,1.317139,0.111025,0.165088,0.204361,0.621492,0.813740,-0.446941,1.322134,67,0.050758,0.165088,pooled_p20_after_tukey_filter
Shanghai,Shanghai,121.958330,31.516670,15.500000,8369,2396,0.337415,0.358334,0.261060,0.293092,0.267284,0.280368,0.058485,0.063889,4.511579,3.285856,0.137553,0.172860,0.167958,0.201611,0.175661,0.216170,0.429568,0.411456,0.613262,0.569057,0.309553,0.311600,0.254594,0.286005,0.058485,0.063889,0.809480,0.703730,0.174321,0.211971,0.167003,0.199038,0.414440,0.379967,-0.205199,-0.076759,0.810428,0.704384,0.342071,0.272000,0.270377,0.058485,4.511579,0.144439,0.172238,0.184898,0.427210,0.603700,0.310448,0.263714,0.159832,0.058485,0.787943,0.142705,0.171030,0.182448,0.408660,0.560754,-0.178570,0.790678,351,0.032606,0.171030,pooled_p20_after_tukey_filter
Shouxian,Shouxian,116.787500,32.416670,50.000000,2689,15,0.439432,0.863158,0.338267,0.279310,0.338954,1.128565,0.039970,0.137841,4.738121,3.729283,0.176025,0.141621,0.215255,0.161187,0.231092,0.173366,0.548708,0.750250,0.824944,2.568081,0.387447,0.343074,0.319640,0.241759,0.039970,0.137841,1.023943,0.777368,0.227521,0.160285,0.212854,0.150371,0.510463,0.469133,-0.245332,-0.691962,1.025132,1.615578,0.441783,0.338170,0.349056,0.039970,4.738121,0.175266,0.214904,0.230805,0.549497,0.825990,0.387488,0.318989,0.213305,0.039970,1.025677,0.172145,0.212737,0.227170,0.510579,0.699292,-0.247233,1.027536,129,0.047707,0.212737,pooled_p20_after_tukey_filter
Tazhong,Tazhong,83.666667,39.000000,1099.300000,12038,12127,0.539062,0.468507,0.411884,0.373736,0.455651,0.371280,0.029833,0.077223,3.958078,3.473746,0.178917,0.163829,0.241252,0.210110,0.262999,0.229812,0.655144,0.586629,0.986807,0.878348,0.450663,0.405722,0.394721,0.354267,0.029833,0.077223,1.242550,1.121390,0.256427,0.223728,0.232856,0.205297,0.581576,0.541842,-0.325218,-0.305415,1.243361,1.121855,0.503655,0.393279,0.416944,0.029833,3.958078,0.170872,0.222135,0.246419,0.613158,0.945880,0.424188,0.376669,0.237596,0.029833,1.163236,0.167900,0.216727,0.239624,0.556399,0.776687,-0.303690,1.163266,1448,0.059921,0.216727,pooled_p20_after_tukey_filter
Nanning,Nanning,108.216667,22.633333,121.600000,2851,3244,0.460804,0.319785,0.387457,0.275004,0.268158,0.192857,0.122874,0.055012,4.660036,3.647452,0.240723,0.160778,0.283972,0.190083,0.301458,0.202303,0.540189,0.411966,0.744790,0.528702,0.406746,0.308562,0.374322,0.272100,0.122874,0.055012,0.897141,0.723735,0.296928,0.201622,0.279054,0.189335,0.498061,0.405725,-0.056639,-0.112192,0.898287,0.726461,0.385748,0.337509,0.241608,0.055012,4.660036,0.182739,0.221120,0.238673,0.471618,0.606203,0.350378,0.329491,0.148320,0.055012,0.819816,0.181334,0.217688,0.235424,0.445231,0.558326,-0.110744,0.821035,257,0.042166,0.217688,pooled_p20_after_tukey_filter
XiAn,XiAn,108.966667,34.433333,410.200000,6598,784,0.408046,0.400569,0.336931,0.338655,0.345090,0.223390,0.115744,0.116874,3.908382,2.224010,0.224329,0.190043,0.254654,0.230446,0.270674,0.240181,0.447065,0.560215,0.599937,0.643029,0.348204,0.387108,0.328199,0.333803,0.115744,0.116874,0.711362,1.013930,0.265874,0.239854,0.251298,0.230038,0.422907,0.543222,0.006087,-0.239870,0.711652,1.040266,0.407252,0.336940,0.334271,0.115744,3.908382,0.220551,0.251443,0.267350,0.454104,0.614647,0.352562,0.328660,0.124353,0.115744,0.733512,0.217462,0.248358,0.262628,0.429895,0.516722,-0.012781,0.734235,414,0.056082,0.248358,pooled_p20_after_tukey_filter
