Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
309.2,0.1,0.15848931924611134,0.0,1007.7745835255585,684.4077494993552,323.36683402620326,11.693836173082353,32.729119970057596,33.52961537746708,0.014279195018022554,3.5789799095056187,2.8879143451946194
309.2,0.1,0.15848931924611134,15.0,965.8597779535269,680.2146236921807,308.8229055097497,11.445939763624716,31.81885980327306,32.377712129609236,0.014888307083602868,3.455805472836337,2.7928793414875055
309.2,0.1,0.15848931924611134,30.0,842.6131473603201,636.3051695010408,291.55670601305553,11.073418820020873,29.535051662890282,29.166126715202875,0.012351210798096438,3.116731282767804,2.5026017961413567
309.2,0.1,0.15848931924611134,45.0,648.5613158281035,551.1241867163322,258.8576661250638,10.681095734868702,25.65866302190272,24.096617751727123,0.011296753525823471,2.5835871400202013,2.073167300662836
309.2,0.1,0.15848931924611134,60.0,403.1441988800199,402.67087719310337,201.80876028346816,9.837398899673879,21.147597936729348,17.863266462067116,0.011262595073063875,1.8810582272524345,1.5438957459655074
309.2,0.1,0.1,0.0,1009.9032896826224,725.9914495191366,283.9118401634857,11.533032676265728,32.40824429114441,33.318103478158065,0.013877994231943715,3.5709982437009145,2.893555276357438
309.2,0.1,0.1,15.0,967.9816312661965,720.9873964170952,271.5612846380096,11.323121730457679,31.44388719710958,32.12383420907627,0.014418115200431483,3.452553830733555,2.798044140938165
309.2,0.1,0.1,30.0,845.0401475384601,679.3274616527509,256.72530825877874,10.925810722201355,29.1683415021565,29.017468567310928,0.013214673419109708,3.0955606091406143,2.5083077610568627
309.2,0.1,0.1,45.0,651.5248710881758,596.8661036145372,229.47680176194405,10.506142443482943,25.299410743414597,23.93502118804709,0.011148943541040164,2.5650774600220654,2.0522404181983487
309.2,0.1,0.1,60.0,406.98763609607346,449.98255338182463,181.99635940516114,9.597745415689982,20.491175447707324,17.532529206415745,0.010559098093880896,1.8598195304041953,1.512494103167845
309.2,0.1,0.25118864315095796,0.0,1004.6120726509587,622.6497143747392,381.96235827621933,11.825412638331233,33.23502456976678,33.36102767074178,0.014713530952589465,3.56871363980774,2.8764183541176362
309.2,0.1,0.25118864315095796,15.0,962.5214337405048,620.1324946969505,363.51944139165175,11.645296174835812,32.415474745113904,32.433460724134044,0.015291978932214317,3.4284669201663345,2.7853078480278968
309.2,0.1,0.25118864315095796,30.0,838.7966283577108,574.1256449396802,341.58923487582274,11.324103209602203,29.950357880874993,29.233407425592773,0.011993799733807146,3.120232835775677,2.530763821067206
309.2,0.1,0.25118864315095796,45.0,643.7013020488243,485.5997672489465,300.330413684485,10.845287197263596,26.371000231146773,24.34197037028347,0.010794886749452521,2.5899609766208638,2.1029061375634734
309.2,0.1,0.25118864315095796,60.0,397.11680284418804,337.6600152644178,228.28679521197915,10.138292983436335,22.0266092765479,18.186593282377775,0.01107351190962927,1.9244628272013322,1.5869293267422222
309.2,0.1,0.39810717055349715,0.0,998.7120581232742,536.3774713422075,462.3345867810667,12.207205434989003,33.8652315196944,33.51685542099089,0.016238248751815877,3.564513204608735,2.881936559915219
