,dsw_true,dsw_pred,dsw_aodc,dni_true,dni_pred,dni_aodc
2019-01-08 15:45:00,180.26,188.087854077811,202.19560460035157,773.24,668.6804069838564,559.8589376895424
2019-01-08 15:50:00,191.6,199.17481888893465,210.5742992269394,782.6600000000001,683.2635794882234,577.9451753776218
2019-01-08 15:55:00,203.3,210.05473497291675,221.2340897669826,793.3399999999999,696.7534738817403,609.720218437776
2019-02-01 21:30:00,293.9,268.19557070003975,283.40780812275966,758.06,738.0088144910152,619.1109074273971
2019-02-01 21:40:00,269.7,243.75632975193233,259.15991199737175,737.54,714.0643616807029,601.582476198337
2019-02-01 21:45:00,255.5,231.21251053863298,246.69949383412097,717.98,700.6896893069397,592.6034294362493
2019-02-01 21:50:00,243.01999999999998,218.47422182976777,234.04756247250523,703.36,686.2575513352183,583.496342164712
2019-02-01 21:55:00,235.32,205.5600332486291,221.05784330530696,708.4,670.6612881065773,573.9758593884359
2019-02-01 22:00:00,226.66,192.49082830298096,209.82907295664094,709.46,653.7804798880751,549.284420316654
2019-02-01 22:05:00,213.61999999999998,179.29028357326246,198.86696648740846,686.8,635.47914090437,521.665933253215
2019-02-01 22:10:00,200.42000000000002,165.98550868200203,187.67660963141063,655.74,615.6038606240606,493.43928879761586
2019-02-01 22:15:00,186.22,152.6078349414067,176.33977743146153,627.26,593.981947634143,464.8433431070659
2019-02-01 22:20:00,174.1,139.19386533049223,164.86325148794722,624.8,570.419897632067,435.88734781304686
2019-02-02 16:40:00,402.78000000000003,377.75011719710443,378.544070117519,891.3399999999999,818.9318810157416,671.3595545318893
2019-02-02 16:45:00,412.38,386.7286008699796,387.90091002891916,897.14,824.3048473058599,680.9060562896861
2019-02-02 16:50:00,421.26000000000005,395.3693955367846,399.2444791542968,900.4799999999999,829.3230946250444,698.6937158990883
2019-02-02 16:55:00,430.41999999999996,403.66660814071014,407.7310817804372,906.26,834.0070622662554,706.7123838225641
2019-02-02 17:00:00,439.41999999999996,411.61469442845976,415.8039366351176,911.04,838.3752694402702,714.3419055983533
2019-02-02 17:05:00,447.48,419.20843256760133,423.50296317202395,914.9,842.4444994474944,721.5878978084974
2019-02-02 17:10:00,454.93999999999994,426.44291682755966,430.9728469093468,917.6,846.2299704919286,728.6522917011961
2019-02-02 17:15:00,462.2,433.3135368109658,437.99124063621593,920.28,849.7454773193565,735.2658281561131
2019-02-02 17:20:00,469.3,439.81597361287334,444.71192323503385,924.46,853.0035233372339,741.6030513278959
2019-02-02 17:25:00,475.76000000000005,445.9461875181384,451.0603018652435,927.4,856.0154320546643,747.5838742357041
2019-02-02 17:30:00,481.91999999999996,451.7004079303209,457.07024821114396,929.68,858.7914456732191,753.2257700246186
2019-02-02 17:35:00,487.68,457.0751323163846,462.62787902410497,931.36,861.3408156239732,758.4421676231698
2019-02-02 17:40:00,492.7,462.0671143255463,467.91003440286886,933.6,863.6718768974024,763.4067312570002
2019-02-02 17:45:00,497.62,466.6733646784815,472.7802435599496,936.78,865.7921188127755,767.9735586237603
2019-02-02 17:50:00,501.82,470.89114165349827,477.2353955707483,937.28,867.7082422768914,772.1254927862053
2019-02-02 17:55:00,506.03999999999996,474.7179524834383,481.3703746995924,940.2,869.4262144392078,775.9884589953846
2019-02-02 18:00:00,509.56000000000006,478.1515458220298,485.0696851851203,942.5799999999999,870.951312371245,779.4231499546477
2019-02-02 18:05:00,513.0,481.18991291341985,488.3490207987238,944.8799999999999,872.2881644868654,782.4521873325258
2019-02-02 18:10:00,515.86,483.83128367524046,491.2261516287145,946.36,873.4407840346296,785.0856407737999
2019-02-02 18:15:00,518.54,486.07412407619796,493.65750342602354,947.64,874.4125980539799,787.2992229942595
2019-02-02 18:20:00,520.38,487.9171370027499,495.7933135857371,949.4399999999999,875.2064731099617,789.237408644545
2019-02-02 18:25:00,522.04,489.35925865115,497.3580694797157,950.4799999999999,875.824734689203,790.5848249425273
2019-02-02 18:30:00,522.74,490.399659553127,498.5627344609047,950.54,876.2691844857787,791.6259623804248
2019-02-02 18:35:00,523.2,491.0377423071886,499.36715632349893,950.9799999999999,876.5411123714676,792.5188816350058
2019-02-02 18:40:00,523.2,491.2731421861712,499.6372339973939,950.6200000000001,876.641305870753,794.013500801001
2019-02-02 18:45:00,522.9200000000001,491.10572614574215,499.63431616618743,950.9799999999999,876.5700553414433,793.8767544365645
2019-02-02 18:50:00,521.86,490.5355930682017,499.1768525240829,950.6,876.3271561437874,793.3639748088249
2019-02-02 18:55:00,521.3,489.5630735046529,498.26711538703347,950.9399999999999,875.9119070833459,792.4800169753806
2019-02-02 19:00:00,520.4799999999999,488.1887305830504,496.9584305113191,951.9,875.3231058205394,791.275721572116
2019-02-02 19:05:00,518.8199999999999,486.4133594344569,495.11420772523627,950.3799999999999,874.5590400523896,789.6305541722919
2019-02-02 19:10:00,516.54,484.2379893516845,492.990448301909,948.22,873.6174761611776,787.7972808030728
2019-02-02 19:15:00,513.72,481.6638827962997,490.3406787529675,946.8799999999999,872.4956426435753,785.5012209300269
2019-02-02 19:20:00,509.93999999999994,478.69253888919854,487.264169481052,943.6200000000001,871.1902114059441,782.8391139885766
2019-02-02 19:25:00,506.86,475.3256920808891,483.83175437909534,943.5200000000001,869.6972726212618,779.9308814906897
2019-02-02 19:30:00,503.2,471.5653170753467,479.90937316429375,943.64,868.0123076612791,776.6147445761527
2019-02-02 19:35:00,498.84,467.41362788356,475.65423064242816,941.0200000000001,866.1301543757298,773.0330393415376
