,dsw_true,dsw_pred,dsw_aodc,dni_true,dni_pred,dni_aodc
2019-01-07 21:55:00,80.24,74.31602233184253,103.29943188451101,481.08000000000004,479.13337803479936,285.9177976363415
2019-01-07 22:00:00,70.84,61.66755533113517,91.58943609988233,455.62,436.7916865487488,255.89891992577694
2019-01-07 22:05:00,60.64,49.54122400377104,79.22441230873831,417.12,389.86519034118294,224.29545191921528
2019-01-07 22:10:00,50.22,38.13424184457341,62.58790099508344,367.96,338.18415304859184,173.65516618264263
2019-02-26 20:25:00,535.5200000000001,520.8914681603983,487.49278526735134,826.72,863.4420822840981,635.4545306751253
2019-02-26 20:30:00,524.34,509.4881834334898,476.7089095064621,821.5799999999999,858.8109000021769,628.8441781584407
2019-02-26 20:35:00,511.64,497.7451598508783,465.36230903325117,814.38,853.885795037125,621.6828529593553
2019-02-26 20:40:00,497.56000000000006,485.66945571071346,454.1800690450318,804.1800000000001,848.6476774154039,614.9884338895546
2019-02-26 20:45:00,483.41999999999996,473.2684413861029,441.597110297438,794.08,843.0755288397814,603.947528517406
2019-02-26 20:50:00,469.58000000000004,460.5498303892351,428.17892694144524,785.6600000000001,837.1461801573835,591.0418575044865
2019-02-26 20:55:00,457.48,447.52168771097024,414.50621621790475,780.5,830.8340440879081,577.8821495201511
2019-02-26 21:00:00,442.8,434.1924693688584,400.5605000767571,771.14,824.1108217544639,564.4402008589698
2019-02-26 21:05:00,428.14,420.5710413640821,386.9986253498176,760.28,816.9451520237809,551.2162655291977
2019-02-26 21:10:00,413.3,406.66672214398034,374.44133754256654,748.34,809.3022162829,537.9564078320948
2019-02-26 21:15:00,397.5,392.48933349354405,360.77946759041237,732.9399999999999,801.1432826419601,524.2606828737205
2019-02-26 21:20:00,384.43999999999994,378.0492420551282,350.107123910812,726.54,792.4251671836437,510.9780609882655
2019-02-26 21:25:00,369.58000000000004,363.3574409202327,335.0453568596067,713.36,783.0996265097475,496.76172778386956
2019-02-26 21:30:00,353.32,348.42561523694883,322.4774528893183,699.22,773.1126326458375,482.8735539804454
2019-02-26 21:35:00,340.15999999999997,333.26625738092315,308.30065373903545,694.28,762.4035507102678,468.6648310506001
2019-02-26 21:40:00,324.21999999999997,317.89277347550336,293.91731877988616,685.22,750.9041593758216,453.9121081647639
2019-02-26 21:45:00,308.58000000000004,302.31965149570345,278.35713209668364,680.86,738.53753476478,439.0003406625905
2019-02-26 21:50:00,292.16,286.56263618793946,262.44930022720865,670.3399999999999,725.2167286310175,423.6527248647731
2019-02-26 21:55:00,276.32,270.6389725807211,246.4297668649533,658.04,710.8432512857404,408.2060575495397
2019-02-26 22:00:00,260.24,254.5677123546035,230.29220279429578,643.1,695.3053215722343,392.68974144969314
2019-02-26 22:05:00,244.8,238.37008023490455,213.95104202611788,629.52,678.4758409805211,376.9403490477906
2019-02-26 22:10:00,228.28000000000003,222.06997999472551,197.61129724498522,609.52,660.2101357036836,361.46304483163755
2019-02-26 22:15:00,211.5,205.69460844075357,180.97314137443777,588.6,640.3434221780647,345.1300973393668
2019-02-26 22:20:00,196.16,189.27529509441294,168.35614586918396,571.84,618.6881450403263,330.56468227154187
2019-02-26 22:25:00,179.84,172.848564362053,159.32550188673522,549.46,595.0312878384646,316.738375019361
2019-02-26 22:30:00,163.56,156.4575828022745,148.5705811520713,524.1,569.1321103007764,295.47585215675457
2019-02-26 22:35:00,149.02,140.1540518296927,139.46301190119064,505.0,540.7209305714042,281.57041028768197
2019-02-26 22:40:00,134.62,124.00077879561181,125.4979925232227,481.9,509.50034383580083,246.29325051820132
2019-02-26 22:45:00,120.94000000000001,108.07514774394134,110.19334057270189,458.68,475.1512556009125,205.28169251280815
2019-02-26 22:50:00,107.84,92.4737918243767,95.13316349842168,435.9,437.3479977422179,165.3283043440657
2019-03-11 19:30:00,752.22,683.5937319131601,745.7509499964798,1009.14,897.4514946136467,948.4233980034413
2019-03-11 19:35:00,744.48,676.0505911901348,738.489330574912,1008.3799999999999,895.3440707677628,945.5645154347237
2019-03-11 19:40:00,735.92,668.1081695118095,729.1774125966729,1006.7,893.0866404113624,941.1759687365729
2019-03-11 19:45:00,726.28,659.7706908150424,719.4600857733727,1003.1200000000001,890.6733364303998,937.520637802738
2019-03-11 19:50:00,716.58,651.0426028700535,709.8738437002809,1000.4,888.097760466335,932.8791036539254
2019-03-11 19:55:00,706.48,641.9285876195723,699.8063552763125,997.18,885.3529420917914,928.716385519158
2019-03-11 20:00:00,694.5,632.433553556519,689.5424172073682,991.8,882.4312874845797,924.5860879674841
2019-03-11 20:05:00,684.48,622.5626476444273,679.0017336296594,990.14,879.3245280339597,920.4964953052424
2019-03-11 20:10:00,673.8399999999999,612.3212477571328,667.7925318147118,986.8399999999999,876.023656329827,915.7616902106627
2019-03-11 20:15:00,662.3,601.7149764576318,656.4618150814584,982.96,872.5188612483103,911.1601015951868
2019-03-11 20:20:00,648.7,590.7496953669972,644.7611392960223,975.5,868.7994482933493,906.346656056961
2019-03-11 20:25:00,635.2,579.431513718342,632.8897365287088,968.4,864.8537546575561,901.5778258086997
2019-03-11 20:30:00,623.5,567.7667987094652,620.743406515041,966.8799999999999,860.669053963994,896.7170833124651
2019-03-11 20:35:00,611.76,555.762171444167,608.6989707068251,966.9200000000001,856.2314431296487,892.442909437321
2019-03-11 20:40:00,598.48,543.4245274545641,595.7697080704543,963.14,851.5257233587184,886.9823066913134
2019-03-11 20:45:00,582.3,530.7610333452366,582.4899681147989,953.18,846.5352556068844,881.1441793028894
