,dsw_true,dsw_pred,dsw_aodc,dni_true,dni_pred,dni_aodc
2019-03-07 21:30:00,640.8,618.3008882117564,598.5283287091004,999.4200000000001,926.2788533439242,832.583791937475
2019-03-07 21:35:00,628.28,605.9078019241628,587.2497940462302,1001.82,922.2192845245061,828.9359568161124
2019-03-07 21:40:00,615.1800000000001,593.1412569436295,575.0138255965819,990.0200000000001,917.9085132646827,824.020441230533
2019-03-07 21:45:00,603.58,580.0085761280538,562.8062269071206,991.46,913.3310678391578,819.5047453284643
2019-03-07 21:50:00,591.24,566.5173790322704,550.6170600735977,989.6,908.4699687799927,815.3991569939557
2019-03-07 21:55:00,575.04,552.6755992585256,537.6784316146508,973.7,903.3065588840698,810.3067387573478
2019-03-07 22:00:00,559.86,538.4915050934119,525.1463951760076,973.74,897.8203096862156,806.2194209250868
2019-03-07 22:05:00,543.1,523.9737041524915,512.3574352165475,964.6200000000001,891.9885925766292,801.9673982750372
2019-03-07 22:10:00,528.0200000000001,509.1311798385597,497.9192920245587,961.5200000000001,885.7864279760763,791.5371773591567
2019-03-07 22:15:00,510.91999999999996,493.97330122746575,483.4628804292505,958.22,879.1861840209046,781.9256587136188
2019-03-07 22:20:00,492.16,478.50986954895075,467.83381320447205,944.82,872.1572433214241,769.651094859993
2019-03-07 22:25:00,477.03999999999996,462.75113870331006,452.70000553163925,939.5,864.6656032753924,758.4152986012483
2019-03-07 22:30:00,460.41999999999996,446.7078762125444,436.8347713045168,930.36,856.6734290759786,745.9469966660317
2019-03-07 22:35:00,446.64,430.3914022192904,420.7428837607898,922.22,848.1385192232107,733.2506956199218
2019-03-07 22:40:00,427.62,413.81366087680004,404.4532600863225,903.5200000000001,839.013694325533,720.0912751607632
2019-03-07 22:45:00,411.62,396.98730670029545,388.536397675972,907.04,829.2460851895252,708.0195216567212
2019-03-07 22:50:00,393.71999999999997,379.9257863047872,372.1690297317147,889.4200000000001,818.7762873802642,694.7732697442275
2019-03-15 15:15:00,366.4,363.062385257264,357.0226285110463,935.1,801.4688100106346,724.3919212415692
2019-03-15 15:20:00,385.24,380.9679796658907,372.359789991811,945.24,813.0944715451747,730.7295891650447
2019-03-15 15:25:00,403.52,398.67604442726446,390.6544360945277,954.0799999999999,823.9229655305649,747.1795988979069
2019-03-15 15:30:00,421.8,416.17157920826605,408.55187404017295,962.9799999999999,834.0244900727511,763.2188684823233
2019-03-15 15:35:00,438.78000000000003,433.44053862525044,427.673362784161,968.74,843.4613140618784,783.1365127400609
2019-03-15 17:20:00,737.1,724.9915487382864,719.8874211215775,1059.3,950.7340286341242,943.131194770308
2019-03-15 17:25:00,746.3199999999999,734.7918244859479,729.2424400136235,1059.8600000000001,953.2070022029405,942.8943627100768
2019-03-15 17:30:00,756.2,744.1712088422915,738.8511500292258,1061.78,955.5270766097728,947.0583840036393
2019-03-15 17:35:00,763.88,753.1247716759293,748.7299910476065,1059.4,957.7004460012058,951.1557882415318
2019-03-15 17:40:00,771.1,761.6478204199706,757.6746826051406,1057.9,959.7327941875814,954.4732121228313
2019-03-15 17:45:00,779.68,769.7359088012522,766.7447147517054,1060.1599999999999,961.6293351611434,958.3400841243329
2019-03-15 17:50:00,785.36,777.3848270406544,775.5255405267724,1058.8200000000002,963.394845063212,962.2152777036497
2019-03-15 17:55:00,792.9399999999999,784.5906100919076,783.8703091152933,1060.8799999999999,965.0336947801306,965.8843675787875
2019-03-15 18:00:00,800.5,791.3495291279701,792.0417533119917,1063.44,966.5498753705955,969.8530325153049
2019-03-15 18:05:00,806.78,797.6580982878887,798.4621341655912,1064.28,967.9470240735473,972.6141984992976
2019-03-15 18:10:00,814.2,803.5130714386075,804.1340796491961,1066.9,969.2284453851269,974.6200882255886
2019-03-15 18:15:00,820.74,808.9114401039352,808.9002482316116,1068.6,970.3971300530977,975.8607798518894
2019-03-15 18:20:00,827.04,813.8504388818948,813.722114836904,1071.24,971.4557735257608,977.5454233865869
2019-03-15 18:25:00,830.6,818.3275397729253,817.5146270456873,1070.52,972.4067900134651,978.3057700412983
2019-03-15 18:30:00,835.1600000000001,822.3404576259504,821.7961523175977,1071.36,973.2523271396343,980.1935142588032
2019-03-15 18:35:00,839.26,825.8871455026795,825.2596961038394,1071.94,973.9942767707258,981.3718216867501
2019-03-15 18:40:00,842.28,828.9657991558641,828.5451040836286,1073.3,974.6342862362255,982.4804113104783
2019-03-15 18:45:00,842.8399999999999,831.5748533971529,831.0321171719419,1069.74,975.1737664074641,983.1300741860746
2019-03-16 14:10:00,130.2,128.50812080721505,146.31975591937703,703.3399999999999,530.2377656799143,404.1207802453232
2019-03-16 14:15:00,145.1,146.66922021738048,161.60190827017723,730.5,564.4892571819087,442.1712494856898
2019-03-16 14:20:00,160.85999999999999,165.0857258182153,175.4481567063093,755.74,595.5381189789601,473.9314003032118
2019-03-16 14:25:00,177.72,183.680029955796,186.7289215906041,776.62,623.7387314832275,495.01144196925145
2019-03-16 14:30:00,195.52,202.3887800758687,199.3483532133915,795.58,649.4108262230667,522.5097015073499
2019-03-16 14:35:00,213.9,221.15951013889858,210.35068865440667,813.8199999999999,672.838138508269,541.3941484459029
2019-03-16 14:40:00,232.84,239.9481190650344,222.64813042625389,830.9799999999999,694.2701248547778,544.0963907532231
2019-03-16 14:45:00,251.74,258.7170303589619,240.04006561736148,845.1200000000001,713.9250758222312,558.922348669809
2019-03-16 14:50:00,270.64,277.43377718394737,256.80834665894776,858.24,731.9935972757481,570.9209462286454
