,dsw_true,dsw_pred,dsw_aodc,dni_true,dni_pred,dni_aodc
2019-01-14 17:20:00,508.96000000000004,480.86182493891147,492.12961229066434,998.4,939.1992371375002,842.0404318751673
2019-01-14 18:20:00,476.82,452.26296000697664,460.5208939937419,984.0200000000001,928.2018213340737,803.0052093532222
2019-01-14 18:25:00,471.14,447.2561017497314,454.7720766596917,982.0,926.1709219849914,800.3683999367187
2019-01-14 18:30:00,464.93999999999994,441.85616087752385,449.07081580605364,978.5600000000001,923.943028970395,795.005409380068
2019-01-14 18:35:00,458.71999999999997,436.06632624727484,442.9629480836534,975.76,921.5098016209413,789.4049892155408
2019-01-14 18:40:00,452.18,429.89004287130786,436.48219439182395,972.82,918.8619306417519,783.3981214387602
2019-01-14 18:45:00,445.1,423.3310239430812,429.67859597202937,968.78,915.9890496044902,777.2161274591408
2019-01-14 19:00:00,421.4,401.39879143664564,407.6765269872554,957.74,905.8984903023762,749.7413650625231
2019-01-14 19:05:00,412.68,393.3515094499295,398.12825320660386,953.7,901.9967284155709,748.6236611508975
2019-01-14 19:10:00,403.64,384.9443140571519,389.3298410348767,949.2,897.7979949837013,740.7535010897733
2019-01-14 19:15:00,394.28000000000003,376.1827016395534,380.29006197969545,944.9799999999999,893.2827453506023,732.733461871896
2019-01-14 19:20:00,384.14,367.0725225396612,370.7431223277604,939.0799999999999,888.429223960111,724.2190509307339
2019-01-14 19:25:00,373.73999999999995,357.61999432027966,360.9815231306541,932.6200000000001,883.2131785551743,715.6667891687233
2019-01-14 19:30:00,363.52,347.8317386265357,350.88255636486474,927.4200000000001,877.6075392331285,706.8333633098542
2019-01-14 19:35:00,352.96,337.7148049219374,340.4606099671799,921.7,871.5820340061529,697.6674728022618
2019-01-14 19:40:00,341.91999999999996,327.2767132014937,329.7675496193791,913.96,865.1027474950102,688.363762733337
2019-01-14 19:45:00,331.06,316.5255056301023,318.68857170732514,906.6200000000001,858.1316050584344,678.6986756092243
2019-01-14 19:50:00,319.4,305.4697939346022,308.3772965747615,898.0799999999999,850.6257575647637,664.3544714478469
2019-01-14 19:55:00,307.4,294.118840726743,298.11590587788834,888.32,842.5368718585004,649.3338762980119
2019-01-14 20:00:00,295.7,282.4826330661238,286.0967472493205,879.1,833.8102759183669,638.3740654974022
2019-01-14 20:05:00,283.91999999999996,270.57199970830743,273.94336905780284,869.4200000000001,824.3839647690934,627.5614116685795
2019-01-14 20:10:00,272.46,258.39872858651285,261.7337400602866,860.8399999999999,814.1874002838263,616.9235594922428
2019-01-14 20:15:00,260.86,245.9757412586179,249.28713874486766,851.5,803.1401039100028,606.0871653818957
2019-01-14 20:25:00,237.04000000000002,220.43918729642616,223.23201593601652,828.64,778.111184920837,582.8936671502255
2019-01-14 20:30:00,224.82,207.35919524982833,211.83403265253295,815.3399999999999,763.9019531182453,556.3312454193531
2019-02-04 17:20:00,573.6,571.0377881806821,551.9158741589249,908.04,959.9580624265096,783.7241555391031
2019-02-04 17:25:00,574.0600000000001,571.3224816390781,552.4755080170464,909.24,960.0395478094924,784.0553107496862
2019-02-04 17:30:00,573.9399999999999,571.1817946726178,552.5934702391191,910.0200000000001,959.9992879864288,784.2487677432019
2019-02-04 17:35:00,572.64,570.6158046726091,552.1041367266251,907.8799999999999,959.8371666573458,783.8757674963355
2019-02-04 17:40:00,571.7,569.6248169114041,551.2741688982659,908.1,959.5527131963603,783.5708493282588
2019-02-04 17:45:00,570.88,568.2093640372383,550.0356042158319,907.5799999999999,959.145099157369,783.0013655312656
2019-02-04 17:50:00,569.5,566.3702073181557,548.5524357915416,906.3,958.6131327132312,782.6373652500336
2019-02-04 17:55:00,565.2,564.1083353913856,546.6522124548749,899.74,957.9552497287309,782.2362479259277
2019-02-04 18:00:00,562.6,561.4249665970755,544.0097361332453,899.9200000000001,957.1695031091383,782.3564504206697
2019-02-04 18:05:00,560.5799999999999,558.321547465229,541.0987448750137,904.46,956.2535481195803,782.1809749952594
2019-02-04 18:10:00,556.54,554.7997539623409,537.7694115531772,905.3799999999999,955.2046253945774,781.1993361445399
2019-02-04 18:15:00,553.64,550.8614938919452,534.1290893218328,905.76,954.0195409577768,781.3367283731866
2019-02-04 18:20:00,550.3199999999999,546.5089043438853,530.0116837149774,908.0600000000001,952.6946411239919,779.1325918389346
2019-02-04 18:25:00,544.4399999999999,541.744357004171,525.6354630720045,904.04,951.2257857807454,776.9726163147326
2019-02-04 18:30:00,537.62,536.5704547965844,520.7471905480417,899.82,949.608314645953,774.4125474090546
2019-02-04 18:35:00,531.2,530.9900385679872,515.6852383248636,896.36,947.8370117294917,772.0007139775312
2019-02-04 18:40:00,526.26,525.0061834241491,510.316191154751,896.0200000000001,945.9060611207512,769.6008928602004
2019-02-04 18:45:00,521.3599999999999,518.6222069665963,504.39948661735787,896.4799999999999,943.8090004088888,766.6266982670423
2019-02-04 18:50:00,516.62,511.8416664942262,498.196620906133,899.0600000000001,941.5386636628931,763.6419502465926
2019-02-04 18:55:00,508.93999999999994,504.6683643651842,490.8045347090431,896.74,939.0871191668466,758.4159371953706
2019-02-04 19:00:00,501.88,497.10635491850115,482.89254579624304,896.4,936.4455988422487,752.1688084110574
2019-02-04 19:05:00,493.93999999999994,489.1599421191096,474.74514689728335,894.86,933.6044142415155,745.7888029318668
2019-02-04 19:10:00,486.7,480.83369302224366,466.1435463580648,895.04,930.5528663159719,739.1045924032796
2019-02-04 19:15:00,476.4,472.1324356064886,458.7432295909672,890.54,927.2791361364461,726.911034974924
