,RMSE,MAE,rRMSE_percent,R2
C01,3.5460451654558386e-14,1.3932544492010131e-14,1.1407882600663719e-11,1.0
C02,3.3957269395083636e-14,1.654161265634848e-14,1.3295409855360488e-11,1.0
C03,4.0331486146645103e-14,2.4024659025847036e-14,1.3551565745076755e-11,1.0
C05,4.172146318542256e-14,1.6791225596894908e-14,1.4567993789950586e-11,1.0
C06,5.143671492023971e-14,2.5856705995884796e-14,2.7397456487003993e-11,1.0
AVG,4.058147706038987e-14,1.9429349553397073e-14,1.6044061695611108e-11,1.0
