The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  722.54        537.69        148.19         98.32
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     912.0  0.0010424170  0.0010345411  0.0000997544  0.0001418677
     913.0  0.0010572020  0.0010491970  0.0001018370  0.0001438799
     914.0  0.0010700180  0.0010618990  0.0001036357  0.0001456241
     915.0  0.0010788670  0.0010706650  0.0001048666  0.0001468283
     916.0  0.0010834479  0.0010752010  0.0001054717  0.0001474517
     917.0  0.0010832680  0.0010750110  0.0001053803  0.0001474273
     918.0  0.0010793150  0.0010710810  0.0001047312  0.0001468893
     919.0  0.0010723440  0.0010641559  0.0001036419  0.0001459405
     920.0  0.0010644370  0.0010563020  0.0001024212  0.0001448644
     921.0  0.0010572770  0.0010491910  0.0001013236  0.0001438900
     922.0  0.0010531800  0.0010451160  0.0001006887  0.0001433324
     923.0  0.0010535370  0.0010454580  0.0001007193  0.0001433813
     924.0  0.0010591249  0.0010509890  0.0001015232  0.0001441414
     925.0  0.0010697360  0.0010615010  0.0001030655  0.0001455855
     926.0  0.0010839310  0.0010755680  0.0001051324  0.0001475175
     927.0  0.0011002900  0.0010917820  0.0001075144  0.0001497437
     928.0  0.0011165860  0.0011079320  0.0001098876  0.0001519617
     929.0  0.0011317410  0.0011229489  0.0001120937  0.0001540242
     930.0  0.0011444460  0.0011355380  0.0001139396  0.0001557532
     931.0  0.0011546770  0.0011456730  0.0001154173  0.0001571457
     932.0  0.0011622680  0.0011531890  0.0001164938  0.0001581788
     933.0  0.0011677140  0.0011585770  0.0001172343  0.0001589200
     934.0  0.0011712770  0.0011621000  0.0001176673  0.0001594049
     935.0  0.0011733540  0.0011641480  0.0001178479  0.0001596877
     936.0  0.0011741740  0.0011649510  0.0001178067  0.0001597993
     937.0  0.0011739510  0.0011647170  0.0001175804  0.0001597688
     938.0  0.0011728300  0.0011635950  0.0001171954  0.0001596160
     939.0  0.0011708670  0.0011616390  0.0001166756  0.0001593491
     940.0  0.0011680620  0.0011588470  0.0001160319  0.0001589673
     941.0  0.0011641850  0.0011549940  0.0001152491  0.0001584396
     942.0  0.0011590630  0.0011499040  0.0001143141  0.0001577427
     943.0  0.0011524410  0.0011433270  0.0001132023  0.0001568415
     944.0  0.0011446200  0.0011355610  0.0001119631  0.0001557768
     945.0  0.0011362220  0.0011272210  0.0001106884  0.0001546342
     946.0  0.0011286309  0.0011196820  0.0001095682  0.0001536010
     947.0  0.0011232250  0.0011143100  0.0001087857  0.0001528652
     948.0  0.0011212711  0.0011123600  0.0001084974  0.0001525992
     949.0  0.0011230480  0.0011141110  0.0001087189  0.0001528411
     950.0  0.0011282000  0.0011192070  0.0001093814  0.0001535422
     951.0  0.0011355230  0.0011264560  0.0001103107  0.0001545389
     952.0  0.0011442309  0.0011350811  0.0001114171  0.0001557241
     953.0  0.0011536370  0.0011443980  0.0001126395  0.0001570040
     954.0  0.0011640911  0.0011547520  0.0001140758  0.0001584270
     955.0  0.0011758310  0.0011663800  0.0001157922  0.0001600246
     956.0  0.0011891359  0.0011795590  0.0001178459  0.0001618353
     957.0  0.0012036810  0.0011939650  0.0001201682  0.0001638149
     958.0  0.0012184290  0.0012085750  0.0001225770  0.0001658221
     959.0  0.0012323920  0.0012224020  0.0001248694  0.0001677222
     960.0  0.0012441060  0.0012340000  0.0001267870  0.0001693167
     961.0  0.0012529530  0.0012427580  0.0001281885  0.0001705205
     962.0  0.0012581890  0.0012479360  0.0001289402  0.0001712334
     963.0  0.0012599831  0.0012497010  0.0001290528  0.0001714771
     964.0  0.0012584570  0.0012481790  0.0001285558  0.0001712698
     965.0  0.0012543011  0.0012440470  0.0001275743  0.0001707039
     966.0  0.0012479270  0.0012377200  0.0001261979  0.0001698367
     967.0  0.0012399670  0.0012298180  0.0001245543  0.0001687533
     968.0  0.0012305890  0.0012205130  0.0001226840  0.0001674767
     969.0  0.0012202790  0.0012102840  0.0001206907  0.0001660737
     970.0  0.0012094340  0.0011995240  0.0001186423  0.0001645976
     971.0  0.0011989770  0.0011891520  0.0001167149  0.0001631748
     972.0  0.0011901800  0.0011804210  0.0001151137  0.0001619776
     973.0  0.0011843340  0.0011746150  0.0001140589  0.0001611819
     974.0  0.0011829060  0.0011731870  0.0001137706  0.0001609876
     975.0  0.0011865130  0.0011767470  0.0001143300  0.0001614784
     976.0  0.0011953630  0.0011855030  0.0001157434  0.0001626827
     977.0  0.0012086410  0.0011986470  0.0001178569  0.0001644898
     978.0  0.0012248580  0.0012147040  0.0001204210  0.0001666969
     979.0  0.0012423249  0.0012319990  0.0001231606  0.0001690741
     980.0  0.0012591740  0.0012486810  0.0001257855  0.0001713671
     981.0  0.0012742120  0.0012635679  0.0001281102  0.0001734139
     982.0  0.0012866800  0.0012759080  0.0001300253  0.0001751106
     983.0  0.0012964150  0.0012855370  0.0001315035  0.0001764358
     984.0  0.0013036469  0.0012926870  0.0001325860  0.0001774196
     985.0  0.0013085700  0.0012975470  0.0001332917  0.0001780899
     986.0  0.0013114481  0.0013003791  0.0001336579  0.0001784814
     987.0  0.0013122970  0.0013012009  0.0001336746  0.0001785970
     988.0  0.0013111320  0.0013000279  0.0001333393  0.0001784383
     989.0  0.0013078670  0.0012967699  0.0001326375  0.0001779936
     990.0  0.0013024850  0.0012914200  0.0001315694  0.0001772614
     991.0  0.0012948270  0.0012838130  0.0001301213  0.0001762193
     992.0  0.0012848710  0.0012739260  0.0001282898  0.0001748643
     993.0  0.0012723000  0.0012614530  0.0001260409  0.0001731535
     994.0  0.0012570550  0.0012463280  0.0001233563  0.0001710788
     995.0  0.0012389889  0.0012284090  0.0001202293  0.0001686201
     996.0  0.0012182340  0.0012078240  0.0001166795  0.0001657953
     997.0  0.0011953349  0.0011851171  0.0001128122  0.0001626790
     998.0  0.0011706700  0.0011606610  0.0001087156  0.0001593223
     999.0  0.0011453209  0.0011355240  0.0001045711  0.0001558723
    1000.0  0.0011193330  0.0011097540  0.0001004435  0.0001523355
    1001.0  0.0010934960  0.0010841310  0.0000964464  0.0001488191
    1002.0  0.0010670701  0.0010579251  0.0000925321  0.0001452229
    1003.0  0.0010402070  0.0010312840  0.0000886969  0.0001415668
    1004.0  0.0010118030  0.0010031150  0.0000848348  0.0001377012
    1005.0  0.0009816968  0.0009732603  0.0000808912  0.0001336041
    1006.0  0.0009493071  0.0009411429  0.0000768097  0.0001291958
    1007.0  0.0009146604  0.0009067896  0.0000725590  0.0001244804
    1008.0  0.0008783190  0.0008707601  0.0000681975  0.0001195348
    1009.0  0.0008408299  0.0008335918  0.0000637645  0.0001144326
    1010.0  0.0008035228  0.0007966054  0.0000594013  0.0001093554
    1011.0  0.0007670446  0.0007604409  0.0000551787  0.0001043908
    1012.0  0.0007323982  0.0007260934  0.0000512058  0.0000996756
    1013.0  0.0006996876  0.0006936639  0.0000475008  0.0000952239
    1014.0  0.0006693740  0.0006636111  0.0000441038  0.0000910984
    1015.0  0.0006410964  0.0006355740  0.0000409849  0.0000872498
    1016.0  0.0006154078  0.0006101041  0.0000381786  0.0000837537
    1017.0  0.0005918622  0.0005867581  0.0000356607  0.0000805493
    1018.0  0.0005711090  0.0005661793  0.0000334734  0.0000777250
    1019.0  0.0005527029  0.0005479263  0.0000316024  0.0000752201
    1020.0  0.0005367522  0.0005321078  0.0000300427  0.0000730493
    1021.0  0.0005227801  0.0005182495  0.0000287599  0.0000711479
    1022.0  0.0005101736  0.0005057463  0.0000276811  0.0000694320
    1023.0  0.0004985972  0.0004942661  0.0000267524  0.0000678566
    1024.0  0.0004873576  0.0004831213  0.0000258876  0.0000663269
    1025.0  0.0004766171  0.0004724725  0.0000250558  0.0000648652
    1026.0  0.0004662937  0.0004622389  0.0000242303  0.0000634602
    1027.0  0.0004570458  0.0004530709  0.0000234358  0.0000622016
    1028.0  0.0004490501  0.0004451450  0.0000226976  0.0000611135
    1029.0  0.0004425410  0.0004386907  0.0000220421  0.0000602276
    1030.0  0.0004367988  0.0004329951  0.0000214501  0.0000594461
    1031.0  0.0004309223  0.0004271641  0.0000208801  0.0000586463
    1032.0  0.0004235106  0.0004198109  0.0000202595  0.0000576377
    1033.0  0.0004138667  0.0004102438  0.0000195654  0.0000563251
    1034.0  0.0004022910  0.0003987624  0.0000188522  0.0000547498
    1035.0  0.0003907764  0.0003873412  0.0000183130  0.0000531826
    1036.0  0.0003831477  0.0003797711  0.0000182844  0.0000521444
    1037.0  0.0003841744  0.0003807787  0.0000191704  0.0000522842
    1038.0  0.0003986478  0.0003951124  0.0000213616  0.0000542539
    1039.0  0.0004289904  0.0004251721  0.0000250000  0.0000583834
    1040.0  0.0004740027  0.0004697701  0.0000299032  0.0000645093
    1041.0  0.0005274425  0.0005227192  0.0000354012  0.0000717821
    1042.0  0.0005794207  0.0005742223  0.0000405283  0.0000788562
    1043.0  0.0006183652  0.0006128094  0.0000441894  0.0000841563
    1044.0  0.0006349360  0.0006292276  0.0000455478  0.0000864116
    1045.0  0.0006245704  0.0006189545  0.0000442746  0.0000850008
    1046.0  0.0005889292  0.0005836360  0.0000406181  0.0000801502
    1047.0  0.0005348354  0.0005300340  0.0000353369  0.0000727883
    1048.0  0.0004718183  0.0004675884  0.0000293670  0.0000642119
    1049.0  0.0004094399  0.0004057771  0.0000236196  0.0000557226
    1050.0  0.0003548932  0.0003517254  0.0000187153  0.0000482991
    1051.0  0.0003126826  0.0003098974  0.0000149948  0.0000425545
    1052.0  0.0002842077  0.0002816795  0.0000125090  0.0000386792
    1053.0  0.0002693234  0.0002669281  0.0000111692  0.0000366535
    1054.0  0.0002666803  0.0002643061  0.0000108113  0.0000362938
    1055.0  0.0002748767  0.0002724249  0.0000112930  0.0000374092
    1056.0  0.0002927078  0.0002900908  0.0000125164  0.0000398360
    1057.0  0.0003195127  0.0003166478  0.0000144678  0.0000434840
    1058.0  0.0003549847  0.0003517915  0.0000171792  0.0000483116
    1059.0  0.0003994718  0.0003958672  0.0000207746  0.0000543661
    1060.0  0.0004529807  0.0004488795  0.0000253535  0.0000616483
    1061.0  0.0005158129  0.0005111285  0.0000310612  0.0000701995
    1062.0  0.0005874984  0.0005821458  0.0000379667  0.0000799556
    1063.0  0.0006673518  0.0006612524  0.0000461143  0.0000908232
    1064.0  0.0007543850  0.0007474688  0.0000554832  0.0001026679
    1065.0  0.0008465769  0.0008387924  0.0000659046  0.0001152148
    1066.0  0.0009416541  0.0009329699  0.0000771034  0.0001281544
    1067.0  0.0010353760  0.0010258009  0.0000885250  0.0001409093
    1068.0  0.0011231990  0.0011127890  0.0000995185  0.0001528615
    1069.0  0.0011999600  0.0011888170  0.0001093358  0.0001633083
    1070.0  0.0012619650  0.0012502290  0.0001174207  0.0001717470
    1071.0  0.0013082280  0.0012960481  0.0001235736  0.0001780431
    1072.0  0.0013403990  0.0013279089  0.0001279812  0.0001824214
    1073.0  0.0013632800  0.0013505640  0.0001312508  0.0001855356
    1074.0  0.0013817759  0.0013688710  0.0001340290  0.0001880524
