The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  384.19        340.62        103.96         72.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     912.0  0.0001507967  0.0001507966  0.0000095824  0.0000284850
     913.0  0.0001572413  0.0001572412  0.0000101281  0.0000297024
     914.0  0.0001628319  0.0001628318  0.0000106074  0.0000307584
     915.0  0.0001668936  0.0001668935  0.0000109632  0.0000315257
     916.0  0.0001689792  0.0001689791  0.0000111575  0.0000319196
     917.0  0.0001690466  0.0001690465  0.0000111838  0.0000319323
     918.0  0.0001673121  0.0001673120  0.0000110592  0.0000316046
     919.0  0.0001643739  0.0001643738  0.0000108317  0.0000310497
     920.0  0.0001610520  0.0001610519  0.0000105707  0.0000304221
     921.0  0.0001583400  0.0001583399  0.0000103590  0.0000299098
     922.0  0.0001571204  0.0001571203  0.0000102729  0.0000296795
     923.0  0.0001580426  0.0001580425  0.0000103679  0.0000298536
     924.0  0.0001612800  0.0001612799  0.0000106609  0.0000304652
     925.0  0.0001666068  0.0001666066  0.0000111345  0.0000314714
     926.0  0.0001734349  0.0001734348  0.0000117401  0.0000327612
     927.0  0.0001810303  0.0001810302  0.0000124171  0.0000341959
     928.0  0.0001887101  0.0001887099  0.0000131069  0.0000356467
     929.0  0.0001959239  0.0001959238  0.0000137626  0.0000370094
     930.0  0.0002023411  0.0002023409  0.0000143540  0.0000382215
     931.0  0.0002077784  0.0002077782  0.0000148634  0.0000392486
     932.0  0.0002121651  0.0002121650  0.0000152822  0.0000400772
     933.0  0.0002154791  0.0002154789  0.0000156049  0.0000407032
     934.0  0.0002177355  0.0002177353  0.0000158306  0.0000411294
     935.0  0.0002189688  0.0002189686  0.0000159600  0.0000413624
     936.0  0.0002192456  0.0002192454  0.0000159983  0.0000414147
     937.0  0.0002187024  0.0002187022  0.0000159576  0.0000413121
     938.0  0.0002174376  0.0002174375  0.0000158474  0.0000410732
     939.0  0.0002156635  0.0002156633  0.0000156878  0.0000407381
     940.0  0.0002134235  0.0002134233  0.0000154837  0.0000403149
     941.0  0.0002108520  0.0002108518  0.0000152490  0.0000398292
     942.0  0.0002079164  0.0002079162  0.0000149823  0.0000392747
     943.0  0.0002046983  0.0002046982  0.0000146939  0.0000386668
     944.0  0.0002013439  0.0002013437  0.0000143993  0.0000380331
     945.0  0.0001981766  0.0001981764  0.0000141299  0.0000374348
     946.0  0.0001956833  0.0001956832  0.0000139304  0.0000369639
     947.0  0.0001942761  0.0001942759  0.0000138357  0.0000366980
     948.0  0.0001942548  0.0001942546  0.0000138689  0.0000366940
     949.0  0.0001954431  0.0001954430  0.0000140091  0.0000369185
     950.0  0.0001975379  0.0001975378  0.0000142247  0.0000373141
     951.0  0.0001999551  0.0001999549  0.0000144633  0.0000377708
     952.0  0.0002024999  0.0002024998  0.0000147092  0.0000382515
     953.0  0.0002051455  0.0002051454  0.0000149673  0.0000387513
     954.0  0.0002082960  0.0002082958  0.0000152794  0.0000393464
     955.0  0.0002123290  0.0002123289  0.0000156849  0.0000401082
     956.0  0.0002174712  0.0002174710  0.0000162048  0.0000410795
     957.0  0.0002236118  0.0002236116  0.0000168275  0.0000422395
     958.0  0.0002303496  0.0002303494  0.0000175128  0.0000435122
     959.0  0.0002371129  0.0002371127  0.0000182041  0.0000447897
     960.0  0.0002433255  0.0002433253  0.0000188443  0.0000459634
     961.0  0.0002484410  0.0002484408  0.0000193771  0.0000469296
     962.0  0.0002520354  0.0002520352  0.0000197577  0.0000476086
     963.0  0.0002538432  0.0002538430  0.0000199551  0.0000479501
     964.0  0.0002537606  0.0002537604  0.0000199577  0.0000479344
     965.0  0.0002519254  0.0002519252  0.0000197779  0.0000475877
     966.0  0.0002485330  0.0002485328  0.0000194391  0.0000469470
     967.0  0.0002438798  0.0002438796  0.0000189731  0.0000460680
     968.0  0.0002381772  0.0002381770  0.0000184055  0.0000449908
     969.0  0.0002317474  0.0002317472  0.0000177685  0.0000437762
     970.0  0.0002249667  0.0002249665  0.0000171006  0.0000424954
     971.0  0.0002185233  0.0002185231  0.0000164675  0.0000412783
     972.0  0.0002132136  0.0002132134  0.0000159482  0.0000402753
