The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  351.06        253.88        115.22         66.23
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     912.0  0.0001505546  0.0001500938  0.0000096386  0.0000284388
     913.0  0.0001569881  0.0001565073  0.0000101865  0.0000296541
     914.0  0.0001625689  0.0001620705  0.0000106677  0.0000307082
     915.0  0.0001666237  0.0001661124  0.0000110248  0.0000314741
     916.0  0.0001687051  0.0001681868  0.0000112199  0.0000318674
     917.0  0.0001687723  0.0001682530  0.0000112463  0.0000318800
     918.0  0.0001670402  0.0001665254  0.0000111212  0.0000315528
     919.0  0.0001641065  0.0001635998  0.0000108928  0.0000309986
     920.0  0.0001607897  0.0001602922  0.0000106307  0.0000303721
     921.0  0.0001580819  0.0001575918  0.0000104182  0.0000298607
     922.0  0.0001568640  0.0001563767  0.0000103318  0.0000296306
     923.0  0.0001577836  0.0001572926  0.0000104271  0.0000298044
     924.0  0.0001610152  0.0001605134  0.0000107212  0.0000304148
     925.0  0.0001663326  0.0001658136  0.0000111966  0.0000314192
     926.0  0.0001731485  0.0001726076  0.0000118046  0.0000327066
     927.0  0.0001807306  0.0001801653  0.0000124842  0.0000341389
     928.0  0.0001883968  0.0001878071  0.0000131765  0.0000355870
     929.0  0.0001955983  0.0001949853  0.0000138347  0.0000369473
     930.0  0.0002020038  0.0002013700  0.0000144282  0.0000381572
     931.0  0.0002074314  0.0002067800  0.0000149396  0.0000391824
     932.0  0.0002118100  0.0002111439  0.0000153598  0.0000400095
     933.0  0.0002151178  0.0002144404  0.0000156836  0.0000406343
     934.0  0.0002173697  0.0002166842  0.0000159101  0.0000410597
     935.0  0.0002186004  0.0002179101  0.0000160400  0.0000412922
     936.0  0.0002188758  0.0002181836  0.0000160785  0.0000413443
     937.0  0.0002183334  0.0002176419  0.0000160377  0.0000412418
     938.0  0.0002170703  0.0002163817  0.0000159272  0.0000410032
     939.0  0.0002152987  0.0002146144  0.0000157671  0.0000406685
     940.0  0.0002130619  0.0002123835  0.0000155624  0.0000402460
     941.0  0.0002104945  0.0002098233  0.0000153270  0.0000397610
     942.0  0.0002075632  0.0002069001  0.0000150594  0.0000392074
     943.0  0.0002043503  0.0002036963  0.0000147700  0.0000386005
     944.0  0.0002010010  0.0002003566  0.0000144743  0.0000379678
     945.0  0.0001978387  0.0001972033  0.0000142039  0.0000373704
     946.0  0.0001953493  0.0001947207  0.0000140037  0.0000369002
     947.0  0.0001939439  0.0001933188  0.0000139085  0.0000366347
     948.0  0.0001939219  0.0001932958  0.0000139418  0.0000366306
     949.0  0.0001951078  0.0001944769  0.0000140825  0.0000368546
     950.0  0.0001971981  0.0001965594  0.0000142990  0.0000372494
     951.0  0.0001996109  0.0001989633  0.0000145386  0.0000377052
     952.0  0.0002021506  0.0002014939  0.0000147856  0.0000381849
     953.0  0.0002047914  0.0002041251  0.0000150449  0.0000386837
     954.0  0.0002079355  0.0002072579  0.0000153583  0.0000392776
     955.0  0.0002119607  0.0002112690  0.0000157656  0.0000400380
     956.0  0.0002170932  0.0002163837  0.0000162877  0.0000410075
     957.0  0.0002232225  0.0002224919  0.0000169129  0.0000421653
     958.0  0.0002299475  0.0002291939  0.0000176009  0.0000434356
     959.0  0.0002366983  0.0002359216  0.0000182949  0.0000447107
     960.0  0.0002428991  0.0002421011  0.0000189375  0.0000458821
     961.0  0.0002480051  0.0002471893  0.0000194722  0.0000468465
     962.0  0.0002515923  0.0002507636  0.0000198541  0.0000475242
     963.0  0.0002533959  0.0002525602  0.0000200521  0.0000478649
     964.0  0.0002533130  0.0002524764  0.0000200545  0.0000478491
     965.0  0.0002514804  0.0002506486  0.0000198740  0.0000475030
     966.0  0.0002480937  0.0002472716  0.0000195339  0.0000468632
     967.0  0.0002434481  0.0002426402  0.0000190662  0.0000459858
     968.0  0.0002377553  0.0002369648  0.0000184967  0.0000449104
     969.0  0.0002313364  0.0002305659  0.0000178574  0.0000436979
     970.0  0.0002245673  0.0002238181  0.0000171872  0.0000424193
     971.0  0.0002181352  0.0002174059  0.0000165520  0.0000412043
     972.0  0.0002128345  0.0002121216  0.0000160308  0.0000402030
     973.0  0.0002095777  0.0002088743  0.0000157131  0.0000395878
     974.0  0.0002091126  0.0002084095  0.0000156732  0.0000395000
     975.0  0.0002117963  0.0002110830  0.0000159476  0.0000400069
     976.0  0.0002176374  0.0002169034  0.0000165367  0.0000411102
     977.0  0.0002260088  0.0002252458  0.0000173804  0.0000426915
     978.0  0.0002361154  0.0002353174  0.0000183998  0.0000446006
     979.0  0.0002468147  0.0002459796  0.0000194837  0.0000466216
     980.0  0.0002572270  0.0002563558  0.0000205460  0.0000485885
     981.0  0.0002666299  0.0002657258  0.0000215175  0.0000503645
     982.0  0.0002747573  0.0002738246  0.0000223724  0.0000518998
     983.0  0.0002816192  0.0002806618  0.0000231121  0.0000531960
     984.0  0.0002873535  0.0002863754  0.0000237463  0.0000542791
     985.0  0.0002921727  0.0002911768  0.0000242926  0.0000551894
     986.0  0.0002960730  0.0002950625  0.0000247426  0.0000559262
     987.0  0.0002990993  0.0002980771  0.0000250962  0.0000564979
     988.0  0.0003011294  0.0003000986  0.0000253359  0.0000568813
     989.0  0.0003021315  0.0003010956  0.0000254574  0.0000570706
     990.0  0.0003020746  0.0003010377  0.0000254567  0.0000570598
     991.0  0.0003008569  0.0002998227  0.0000253240  0.0000568299
     992.0  0.0002984308  0.0002974033  0.0000250546  0.0000563716
     993.0  0.0002945759  0.0002935603  0.0000246248  0.0000556434
     994.0  0.0002892184  0.0002882197  0.0000240281  0.0000546313
     995.0  0.0002822958  0.0002813197  0.0000232577  0.0000533238
     996.0  0.0002740557  0.0002731065  0.0000223427  0.0000517673
     997.0  0.0002649312  0.0002640122  0.0000213308  0.0000500437
     998.0  0.0002555988  0.0002547108  0.0000202968  0.0000482809
     999.0  0.0002467253  0.0002458667  0.0000193147  0.0000466047
    1000.0  0.0002388178  0.0002379853  0.0000184408  0.0000451111
    1001.0  0.0002320858  0.0002312754  0.0000177009  0.0000438395
    1002.0  0.0002262947  0.0002255034  0.0000170749  0.0000427455
    1003.0  0.0002210458  0.0002202718  0.0000165248  0.0000417541
    1004.0  0.0002156148  0.0002148587  0.0000159818  0.0000407282
    1005.0  0.0002095073  0.0002087716  0.0000153958  0.0000395745
    1006.0  0.0002021879  0.0002014770  0.0000147155  0.0000381919
    1007.0  0.0001935988  0.0001929171  0.0000139298  0.0000365695
    1008.0  0.0001838591  0.0001832106  0.0000130465  0.0000347297
    1009.0  0.0001734524  0.0001728398  0.0000121052  0.0000327640
    1010.0  0.0001629652  0.0001623886  0.0000111583  0.0000307830
    1011.0  0.0001529336  0.0001523917  0.0000102540  0.0000288881
    1012.0  0.0001437677  0.0001432573  0.0000094311  0.0000271567
    1013.0  0.0001356161  0.0001351339  0.0000087029  0.0000256170
    1014.0  0.0001285625  0.0001281045  0.0000080753  0.0000242846
    1015.0  0.0001225684  0.0001221310  0.0000075420  0.0000231523
    1016.0  0.0001177146  0.0001172939  0.0000071042  0.0000222355
    1017.0  0.0001139995  0.0001135914  0.0000067608  0.0000215337
    1018.0  0.0001114531  0.0001110536  0.0000065119  0.0000210527
    1019.0  0.0001099279  0.0001095333  0.0000063503  0.0000207646
    1020.0  0.0001091060  0.0001087138  0.0000062540  0.0000206094
    1021.0  0.0001085766  0.0001081857  0.0000061964  0.0000205094
    1022.0  0.0001077790  0.0001073906  0.0000061363  0.0000203587
