,RMSE,MAE,rRMSE_percent,R2
C01,3.524955415132146e-14,1.4069962126600763e-14,1.1203319712042804e-11,1.0
C02,3.5049339737021774e-14,1.7532729016407202e-14,1.3798037288617773e-11,1.0
C03,4.3091847291559183e-14,2.5903204845628954e-14,1.4190756077025306e-11,1.0
C05,3.482497419870459e-14,1.4749808517424054e-14,1.4095423310465972e-11,1.0
C06,3.8026296738975835e-14,1.925063118172569e-14,2.6305297449011108e-11,1.0
AVG,3.724840242351657e-14,1.830126713755733e-14,1.5918566767432592e-11,1.0
