AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06,C01_srf,C02_srf,C03_srf,C05_srf,C06_srf
0,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.0145,0.0288,0.4156,0.2031,0.0641,12.025870039757685,65.62852351477332,51.83390440855196,1.7690886455416248,1.207901248028214,0.11958472073926238,0.22332474301447602,0.3548783729251805,0.1269418914864213,0.06635221535306131,7.799504274573894,178.28367584524347,174.07529998314408,9.849104146105635,5.233144586462679
0,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0145,0.0288,0.4156,0.2031,0.0641,12.02385750175155,64.818486161615,50.71473328377267,1.770846774302797,1.182944519579228,0.11956470815018191,0.2205682984986172,0.3472160207964261,0.12706804694560778,0.06498129680880271,7.801776947470745,174.6329998059297,170.41540175687086,9.262596710328761,4.697032245536157
1,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0251,0.0472,0.3922,0.2218,0.0897,13.241075876727795,63.32937688548691,48.073014133627396,2.0173446703435896,1.5231617227103411,0.13166867393136925,0.21550106662135396,0.32912961568328614,0.14475563385635945,0.08367004737166704,12.877192875551184,171.58205688045962,160.62975100786366,10.732647070944294,6.73595360388665
2,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0407,0.0745,0.3575,0.2494,0.1275,14.913096065040591,61.12709811666402,44.091430260213684,2.3655753070520995,2.015642168502141,0.1482951688651049,0.20800701809254782,0.30186989016608057,0.1697431073833094,0.11072289515180765,20.255988062038696,166.77055788188716,145.83488230090728,12.804091496765862,9.553377015090494
3,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0673,0.1207,0.2988,0.2961,0.1916,17.96584815377598,57.33451254735788,37.41643853074184,2.9912397301703453,2.8300847811592513,0.17865160085802684,0.19510137657777193,0.2561698752574375,0.21463798899738168,0.15546171110712673,33.1662002194685,159.31831211701598,121.13927851601987,16.3728638726098,14.283861529658608
4,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0938,0.1669,0.2401,0.3428,0.2555,20.887791005348305,53.75877315103939,30.92421387389359,3.620773691873809,3.679663548145048,0.207707271571761,0.18293363244758734,0.21172116646005582,0.25981053139935467,0.2021306200087865,46.4238411878177,152.80215094684905,96.96363873618134,20.041448585843252,19.153193928325617
0,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0145,0.0288,0.4156,0.2031,0.0641,12.125414971763504,65.14533165618724,50.68203986823464,1.7767823436772339,1.184382177473018,0.12057459114826978,0.22168050828441793,0.34699218687451944,0.12749395686557632,0.0650602699751344,7.861654201077654,172.84272035550157,168.5669847310012,8.909011036286483,4.488222487882312
1,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0251,0.0472,0.3922,0.2218,0.0897,13.346806067527087,63.60797297040836,48.03721556685814,2.0225168982234,1.5161554422748105,0.13272005028074288,0.21644909037288507,0.32888452249046013,0.1451267698036262,0.08328517962768454,12.943082475487229,170.01113189850102,158.92856784394178,10.329149029502766,6.432101920989657
2,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0407,0.0745,0.3575,0.2494,0.1275,15.148453462713254,61.31434444867066,44.083573815646794,2.3947897543819563,1.9988723702449616,0.15063555243665164,0.20864419133272244,0.3018161013902458,0.17183940550388607,0.10980169959281294,20.440404888306865,165.44687216906732,144.31894097381655,12.410704787190332,9.15464164862047
3,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0673,0.1207,0.2988,0.2961,0.1916,18.115527872204943,57.76491791258827,37.34750322542926,3.0129275752493085,2.818743518596708,0.18014000936980046,0.19656598620837698,0.25569791295273425,0.21619421179239326,0.15483871490014878,33.387304598185025,158.67074768594534,120.18865313828722,15.873934567907133,13.71547803024679
4,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0938,0.1669,0.2401,0.3428,0.2555,21.079281811260664,54.063231297976365,30.928062737383094,3.6394042634879007,3.656706585258573,0.20961144769153112,0.18396966120127486,0.21174751752174703,0.2611473779198081,0.20086955222879854,46.64252171684925,152.3450786989414,96.14510412312846,19.486007977374786,18.37620836385042
0,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0145,0.0288,0.4156,0.2031,0.0641,12.039407358346608,63.42543378450374,49.01842378715183,1.764189328744639,1.1473180894123869,0.11971933523764486,0.21582793489659213,0.33560231812426133,0.12659033841825373,0.06302427211779434,7.83446289032594,169.1348330274732,164.87351653165018,8.51844880375121,4.290019002486657
1,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0251,0.0472,0.3922,0.2218,0.0897,13.243630754703634,61.94390114769335,46.481111361116234,2.0091816048300277,1.4718963300199799,0.13169407952516443,0.21078648526975785,0.318230728705545,0.14416988877273654,0.08085394598796299,12.859867626670946,166.23268955195087,155.2938375377255,9.91069963499872,6.1602497264720615
2,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0407,0.0745,0.3575,0.2494,0.1275,14.969236109651625,59.84113952142785,42.58953011445242,2.3575346612749692,1.9453504458533337,0.1488534229901624,0.20363107974397704,0.2915872019120213,0.1691661465926257,0.10686164281322047,20.273909269279503,161.79229173219647,140.83985102837732,11.849855361899754,8.770177984566038
3,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0673,0.1207,0.2988,0.2961,0.1916,17.929433870890435,56.29598892068117,36.14135759157575,2.979629504208514,2.7230826657220732,0.17828949883668516,0.19156742503321478,0.24744009396462568,0.21380489109248366,0.14958389003664554,33.17345903722656,155.3890362022231,117.2217665889088,15.221050551839042,13.070640718284007
4,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0938,0.1669,0.2401,0.3428,0.2555,20.894593334699938,52.824466873709696,29.88079460398364,3.603683443457558,3.5457439320552404,0.20777491363451422,0.17975431805642178,0.2045774458198771,0.25858421158468675,0.19477417160599236,46.45711899989712,149.6418959251499,93.8296155796635,18.694796115702534,17.538405778092876
0,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.0145,0.0288,0.4156,0.2031,0.0641,12.169577452312296,63.36933973383138,48.65133215438405,1.770077496886545,1.1184644431139832,0.12101374090509576,0.21563705463934812,0.333089042637154,0.12701284703771004,0.06143928877910006,7.864151120365837,165.86126966122066,161.5774023989556,8.031732892069304,4.114991013534444
1,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.0251,0.0472,0.3922,0.2218,0.0897,13.359875713696443,62.10103820401652,46.04861517820011,2.0244309806748504,1.435949028294878,0.13285001426523269,0.2113212008300359,0.31526966406183465,0.1452641158023473,0.07887929523789627,12.976437484202346,163.4861579247562,152.3716832583275,9.382397848905397,5.899907148918388
2,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.0407,0.0745,0.3575,0.2494,0.1275,15.157807527888965,59.9315067109607,42.26290734957681,2.3840910185854973,1.8962762461708147,0.15072856884778166,0.2039385867287231,0.2893509946133047,0.1710717120579196,0.10416590765198187,20.422949745963955,159.42930358992788,138.33080916992566,11.28688382262671,8.34835608543413
3,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.0673,0.1207,0.2988,0.2961,0.1916,18.242577194311412,56.4537531053663,35.81957494059692,2.9968965008082904,2.672132853529189,0.1814033822196638,0.1921042746241364,0.245237024276592,0.215043893566548,0.14678512406439503,33.49113546774511,153.5275479897716,114.96027700339567,14.54628593631633,12.487143161291819
4,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.0938,0.1669,0.2401,0.3428,0.2555,21.23507696892454,53.00932864209556,29.70539551083956,3.6373333135206822,3.4413060592280575,0.21116066786106322,0.1803833769580544,0.20337658423135177,0.26099877580952097,0.1890372090520113,46.74291684244892,148.43542066127918,92.25566681817935,17.878853599917427,16.735821280729663
0,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.0145,0.0288,0.4156,0.2031,0.0641,12.045327800615553,61.25845566427443,46.49727806468466,1.7520414867342893,1.0462567574277055,0.11977820785418271,0.20845400956808363,0.31834141327625964,0.12571866358943254,0.05747278910156173,7.79317945745065,161.21276027367412,157.0013359867972,7.6548552365095315,3.917368677651927
1,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.0251,0.0472,0.3922,0.2218,0.0897,13.273062946720527,59.9540920705971,44.07671600308383,1.988623295409246,1.3452128726350674,0.131986751943164,0.20401544156815207,0.30176914970115465,0.14269471640632403,0.07389499296113597,12.912352857411857,158.97299927594176,147.95450827771975,8.958309063536063,5.598464546804125
2,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.0407,0.0745,0.3575,0.2494,0.1275,14.950457047696254,58.0348145498124,40.45270315261841,2.3340976053196876,1.7753236422991066,0.1486666848271643,0.19748440694863612,0.27695751726659457,0.16748440824597224,0.09752176084551907,20.268932247644482,155.35625045102705,134.42985769522875,10.783791277585564,7.914134393667084
3,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.0673,0.1207,0.2988,0.2961,0.1916,17.959176596001985,54.65728454210679,34.342085089701015,2.947676217517729,2.5129796053472937,0.17858525918206813,0.18599114181636867,0.23512145995084346,0.21151206610490692,0.13804254629593687,33.17314651604548,150.05257035614602,111.8655923651222,13.920873007118306,11.942149227810948
4,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.0938,0.1669,0.2401,0.3428,0.2555,20.902974193610344,51.50584472726009,28.37698382018267,3.5811414976604192,3.2392556734143407,0.2078582525255086,0.17526723018337576,0.19428167647292088,0.2569667023408822,0.17793821339026683,46.37082367406808,145.19877042888143,89.49392978620816,17.161387471126634,15.863453155480586
0,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.0145,0.0288,0.4156,0.2031,0.0641,12.192718199463492,60.97373469491475,45.59699236367244,1.7543516567952335,0.9605544414413082,0.12124385147311495,0.20748514368618137,0.31217764984017343,0.12588443106407585,0.05276500480556212,7.922380973854993,156.91909017857753,152.5805578984075,7.153701474540202,3.647969690230015
1,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.0251,0.0472,0.3922,0.2218,0.0897,13.461680679473721,59.72316039409415,43.21121239527329,1.998724734503189,1.2555023939475578,0.13386235835028412,0.20322961317301358,0.2958435202197297,0.1434195505114728,0.06896703298840083,12.995247365475965,154.90422300131016,143.78583694361683,8.398714821213009,5.234561315531935
