,RMSE,MAE,rRMSE_percent,R2
C01,0.0005351476445380714,0.0004155365819072824,0.21792517346648768,0.9999877420350084
C02,0.0006864547789273821,0.0005185162350777535,0.3225425140464122,0.9999723563017293
C03,0.0016572814862159857,0.0011936830629988673,0.6465851120529681,0.9998508511293502
C05,0.0007133111220485424,0.0005388967587823767,0.3471028499354255,0.9999560958503495
C06,0.0012770396028961319,0.0008463934932080305,1.3416676739259927,0.9995209498108844
AVG,0.0009738469269252228,0.0007026052263948621,0.5751646646854572,0.9998575990254643
