dni,dhi,Ta,rh,AOD,COD,th0,dsw
1054.1867461506272,124.03405431106586,294.0,0.2,0.05,0.0,0.0,1178.2208004616932
1012.8724840763504,120.59316272864106,294.0,0.2,0.05,0.0,15.0,1133.4656468049914
886.5834603048136,116.03236804212553,294.0,0.2,0.05,0.0,30.0,1002.6158283469391
686.931132604335,108.39402326666844,294.0,0.2,0.05,0.0,45.0,795.3251558710036
433.8626445399122,93.94505126290495,294.0,0.2,0.05,0.0,60.0,527.8076958028172
162.97526358520972,65.92050401032178,294.0,0.2,0.05,0.0,75.0,228.8957675955315
2.712260628671469,11.68869632444705,294.0,0.2,0.05,0.0,88.0,14.40095695311852
950.9407988571862,180.86463483579996,294.0,0.2,0.1,0.0,0.0,1131.805433692986
912.2036959839901,174.90439352452967,294.0,0.2,0.1,0.0,15.0,1087.1080895085197
788.5617547584947,167.30893321769213,294.0,0.2,0.1,0.0,30.0,955.8706879761867
595.6840992539107,153.08055015587735,294.0,0.2,0.1,0.0,45.0,748.7646494097881
354.2699265823598,128.85258098751964,294.0,0.2,0.1,0.0,60.0,483.12250756987953
111.15060266831834,82.27379506802633,294.0,0.2,0.1,0.0,75.0,193.42439773634464
0.4653399844918372,11.009855760806124,294.0,0.2,0.1,0.0,88.0,11.47519574529796
773.4432035172796,266.9930625297492,294.0,0.2,0.2,0.0,0.0,1040.436266047029
739.1271704434322,256.68903932946046,294.0,0.2,0.2,0.0,15.0,995.8162097728928
624.0950382694248,241.4262531931091,294.0,0.2,0.2,0.0,30.0,865.5212914625339
447.2410916900769,213.93432424933727,294.0,0.2,0.2,0.0,45.0,661.1754159394143
237.42234588644814,166.71787732211786,294.0,0.2,0.2,0.0,60.0,404.140223208566
52.667515498017494,89.88486236672091,294.0,0.2,0.2,0.0,75.0,142.55237786473842
0.031187711863200927,8.905502710895806,294.0,0.2,0.2,0.0,88.0,8.936690422759007
628.5373743489763,324.9391135537059,294.0,0.2,0.3,0.0,0.0,953.4764879026823
599.0053307555767,310.5631124000009,294.0,0.2,0.3,0.0,15.0,909.5684431555776
493.9383891975908,288.150633414898,294.0,0.2,0.3,0.0,30.0,782.0890226124887
337.12581497864426,245.67973783313656,294.0,0.2,0.3,0.0,45.0,582.8055528117809
160.13665487086868,178.31174328041945,294.0,0.2,0.3,0.0,60.0,338.4483981512881
25.44535204502635,83.7889736233976,294.0,0.2,0.3,0.0,75.0,109.23432566842393
0.008842686449186978,7.37140810581874,294.0,0.2,0.3,0.0,88.0,7.380250792267928
511.82886702742474,360.1428725015518,294.0,0.2,0.4,0.0,0.0,871.9717395289765
486.8173289837728,342.7437729213202,294.0,0.2,0.4,0.0,15.0,829.5611019050931
392.78121570009324,311.8412847553139,294.0,0.2,0.4,0.0,30.0,704.6225004554071
255.0755897390154,257.66739224640526,294.0,0.2,0.4,0.0,45.0,512.7429819854206
108.38215936790574,175.8097060393703,294.0,0.2,0.4,0.0,60.0,284.19186540727605
12.541365376731768,74.17445456076887,294.0,0.2,0.4,0.0,75.0,86.71581993750067
0.005403846918850926,6.206505889368264,294.0,0.2,0.4,0.0,88.0,6.211909736287115
341.1069849335781,384.05180928367594,294.0,0.2,0.6,0.0,0.0,725.1587942172539
322.7814153056582,361.90909606563406,294.0,0.2,0.6,0.0,15.0,684.6905113712924
248.82060794439366,319.634874633456,294.0,0.2,0.6,0.0,30.0,568.4554825778496
146.21209746882715,248.55159896886505,294.0,0.2,0.6,0.0,45.0,394.7636964376922
50.4394953154438,152.15630674915207,294.0,0.2,0.6,0.0,60.0,202.5958020645959
3.290987896832455,55.50584965813476,294.0,0.2,0.6,0.0,75.0,58.796837554967226
0.002813270265433434,4.543921624946307,294.0,0.2,0.6,0.0,88.0,4.546734895211741
227.8633949655877,371.2261283343086,294.0,0.2,0.8,0.0,0.0,599.0895232998962
214.54598736400519,346.6693275091147,294.0,0.2,0.8,0.0,15.0,561.2153148731198
158.43551745296907,297.75671444775696,294.0,0.2,0.8,0.0,30.0,456.19223190072614
85.29492617251613,219.56096751153055,294.0,0.2,0.8,0.0,45.0,304.8558936840467
24.06187040648291,123.48715421403772,294.0,0.2,0.8,0.0,60.0,147.54902462052064
1.0332264367865684,41.38852881766254,294.0,0.2,0.8,0.0,75.0,42.42175525444911
0.0018982180489614388,3.411175306722438,294.0,0.2,0.8,0.0,88.0,3.4130735247714
152.65144900818666,340.1772310131073,294.0,0.2,1.0,0.0,0.0,492.8286800212939
144.0032181094759,315.57048898710747,294.0,0.2,1.0,0.0,15.0,459.5737070965834
102.38643404796879,264.6891557687554,294.0,0.2,1.0,0.0,30.0,367.07558981672423
49.87201694510337,185.56083563335088,294.0,0.2,1.0,0.0,45.0,235.43285257845426
11.828127075414132,97.43300162522819,294.0,0.2,1.0,0.0,60.0,109.26112870064232
0.3968945347224205,31.30183558911906,294.0,0.2,1.0,0.0,75.0,31.698730123841486
0.0012683958628156857,2.5898610076335578,294.0,0.2,1.0,0.0,88.0,2.591129403496374
21.50511451223506,156.73249531453877,294.0,0.2,2.0,0.0,0.0,178.23760982677382
21.015413292244652,140.8421132783822,294.0,0.2,2.0,0.0,15.0,161.85752657062685
12.744803716777858,106.60228979036408,294.0,0.2,2.0,0.0,30.0,119.34709350714193
4.669716086823386,63.84962569347292,294.0,0.2,2.0,0.0,45.0,68.51934178029632
0.6720505066308198,28.590876741853595,294.0,0.2,2.0,0.0,60.0,29.262927248484417
0.03230398249984654,8.865472027513722,294.0,0.2,2.0,0.0,75.0,8.897776010013569
