,RMSE,MAE,rRMSE_percent,R2
GHI,0.0,0.0,0.0,1.0
DNI,0.0,0.0,0.0,1.0
DHI,0.0,0.0,0.0,1.0
AVG,0.0,0.0,0.0,1.0
