target,feature,importance
GHI,sqrt_COD,322.65216070268895
GHI,cos_th0,327.4249184242047
GHI,sqrt_tpw,29.794384649505712
GHI,alb_PC1_score,5.351836426133329
DNI,exp_neg_sqrt_COD,276.9406953513952
DNI,cos_th0,157.94428347655148
DNI,sqrt_tpw,9.57079027325661
DNI,alb_PC1_score,-0.048736063306641764
