AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,theta_trunc_cld,re_um,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
0,0.12,1.0,0.0,1.0,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,1070.2036553161493,595.1181962132142,475.085459102935,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,0.0,1.0,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,1017.6587755138504,570.7687042192446,446.8900712946058,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890684,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,1081.776196409204,584.9378388624283,496.8383575467758,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890684,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,1055.0183099205342,572.9485436399825,482.0697662805516,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890684,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,1023.5202029174948,558.8185206127281,464.7016823047666,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890684,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,973.307577579788,536.104158172182,437.203419407606,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,943.8633734462964,481.4754103993537,462.3879630469429,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,919.5251365071188,471.3635182455144,448.1616182616044,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,891.376950198919,459.317778004453,432.05917219446593,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,846.0512261470925,440.2907140244175,405.7605121226752,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,726.36804306157,327.1670230459658,399.2010200156042,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,707.5645353489524,320.4840158448443,387.08051950410805,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,684.756500323399,312.5044863500093,372.2520139733895,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,647.720806337663,298.4973278100649,349.22347852759805,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,450.6950187991022,153.74583031948382,296.9491884796184,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,437.68530080372193,150.2486941739748,287.4366066297471,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,422.110551461143,146.021994242256,276.088557218887,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,397.53589769617525,139.13588519165694,258.4000125045183,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.4226182617406994,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,352.43896641790946,100.7262282576021,251.71273816030745,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.4226182617406994,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,342.0541430926207,98.48942293730808,243.5647201553126,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.4226182617406994,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,329.4675321761404,95.73729915897454,233.73023301716583,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.4226182617406994,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,309.61519535631487,91.2541855103711,218.36100984594384,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,1049.2871502432497,242.03453565778997,807.2526145854592,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,1023.83820372117,238.8649774035325,784.9732263176376,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,993.6556117569012,235.37571009061577,758.2799016662854,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,0.0,1.0,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,943.9017354552328,228.8546170316783,715.0471184235545,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890684,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,999.710961255137,222.3969089226992,777.3140523324378,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890684,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,975.3828084200763,219.3470952760392,756.0357131440371,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890684,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,945.6622117669444,215.7751310883999,729.8870806785445,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,15.0,0.9659258262890684,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,897.8732237424754,209.63213614462325,688.2410875978521,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,855.4035272702495,164.03019092498408,691.3733363452653,0.0145,0.0288,0.4156,0.2031,0.0641
