held_out_AlbSet,target,RMSE,MAE,rRMSE_percent,R2
1,GHI,0.36176058740970596,0.26758305429237383,0.11351178740299907,0.9999986948709558
1,DNI,0.2205249812831896,0.1178772337665179,7.047190149079635,0.9999989995071998
1,DHI,0.3990218945984841,0.30001032036280567,0.12412273192162378,0.9999962367545553
2,GHI,0.501925160779539,0.37446188759340826,0.18761474565624217,0.9999974890891921
2,DNI,0.3335525747752902,0.16666742315559996,7.263656154969509,0.9999977095491366
2,DHI,0.5572765596612674,0.4179935568850555,0.20225110405946642,0.9999925813373727
3,GHI,0.6669584954582218,0.5144306983430381,0.21858293777730162,0.9999955656906881
3,DNI,0.23937560741349065,0.13922508412035267,9.057108727378434,0.9999988203360834
3,DHI,0.6614059681907797,0.5100937635352514,0.23324417009796378,0.9999893729658379
