Time,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,RH,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,rtm_dsw,rtm_dni,rtm_dhi,C01_rtm,C02_rtm,C03_rtm,C04_rtm,C05_rtm,C06_rtm
2021-06-01 04:00:00,948.7,18.12014004345721,170.65867976634087,935.9252534551368,297.35,43.0,0.3768,0.3608,0.3883,0.0285,0.356,0.285,202.5,37.16,112.66,40.58,0.04,973.5373577729924,907.5890174988175,110.95888615121731,0.10104215108667704,0.11195585622020858,0.24303979995031852,2.2068193720377182e-05,0.27510509575915454,0.16928331097405436
2021-06-03 04:00:00,994.8,17.876252384554704,170.3084221247192,936.487804508446,297.04999999999995,26.0,0.5528000000000001,0.609,0.625,0.0608,0.206,0.1995,202.5,37.16,111.78,40.32,0.04,994.9317066095305,928.3013777192757,111.44712877116105,0.10072404495642195,0.11307845938138922,0.24884953650249872,3.06678694641922e-05,0.27576274664103045,0.174521192225785
2021-06-05 04:00:00,928.5,17.659474658286427,169.94308583672816,936.8980100966664,304.15,17.0,0.1248,0.111,0.1475,0.0268,0.133,0.0885,202.5,37.16,110.98,40.06,0.04,995.2835092938852,928.0835648998541,110.93468913499214,0.10090742692883556,0.11273920834397913,0.24892460464653468,2.8469635117388245e-05,0.2755113975953624,0.17453976674314517
2021-06-06 04:00:00,1004.3,17.5613493185851,169.75575273835827,937.047529400277,304.04999999999995,23.0,0.1218,0.1113,0.1498,0.0273,0.1365,0.092,202.5,37.16,110.62,39.96,0.04,982.1567587456911,914.7536882634375,110.03569295120317,0.10118457960079764,0.11180074243902277,0.24532730293467916,2.323020110471051e-05,0.2749279763444856,0.17095416575884886
2021-06-08 04:00:00,853.8,17.38578389294065,169.37397966135177,937.23830719299,298.15,56.0,0.1335,0.1178,0.153,0.028,0.1423,0.091,202.5,37.16,109.9,39.76,0.04,965.3074123062421,894.7787052544286,111.40712271462996,0.10009000597465074,0.11131349569734982,0.23884473904188647,9.80665512626838e-06,0.2770651299320385,0.16408555554664805
2021-06-10 04:00:00,978.0,17.237959883732913,168.98597820553664,937.2883454324924,301.04999999999995,41.0,0.3033,0.294,0.292,0.061,0.2438,0.2098,202.5,37.16,109.28,39.58,0.04,970.6309055256908,900.789568418911,110.3027880850751,0.09978804716374488,0.1113080303833049,0.24047568767838268,1.105217456983876e-05,0.2771795236741826,0.1660198860392935
2021-06-15 04:00:00,926.7,16.990479383947772,168.01664621253556,936.8228282555704,300.15,53.0,0.197,0.1933,0.2263,0.048,0.178,0.1245,202.5,37.16,108.04,39.26,0.04,961.6642095533126,889.6810466874508,110.81478234161004,0.10002435258389247,0.11091812705130215,0.23800664760172374,8.08136606399836e-06,0.27695175845709386,0.16259138007251217
2021-06-17 04:00:00,1018.5,16.94036439863912,167.64088774745673,936.1598057556712,301.54999999999995,25.0,0.1868,0.164,0.2053,0.034,0.163,0.119,202.5,37.16,107.7,39.18,0.04,989.9954335770337,919.2294320122135,110.65270008420603,0.09982849748893005,0.11257487852610433,0.2459997385830398,1.4874968496341061e-05,0.27758797524425877,0.17129807163254768
2021-06-18 04:00:00,995.4,16.925747994180043,167.4577919954013,935.7809894992424,303.04999999999995,19.0,0.6485000000000001,0.6965,0.7255,0.07,0.267,0.2515,202.5,37.16,107.54,39.14,0.04,999.3896554300859,928.4046159734662,111.2008818556217,0.09965544116616211,0.1131794786620948,0.24823080720344262,1.466472537685278e-05,0.27794682096970597,0.17380220357934736
2021-06-19 04:00:00,998.3,16.918068491156973,167.27858714441044,935.3709969835072,307.35,11.0,0.5710000000000001,0.6003000000000001,0.6315000000000001,0.101,0.2023,0.1953,202.5,37.16,107.42,39.12,0.04,1012.4384522519979,940.9734855550317,112.18854688001181,0.09966924528350045,0.11418191860754529,0.25221935431606834,1.8528511717962494e-05,0.27853884269740964,0.17653663034687966
2021-06-20 04:00:00,991.7,16.917302150486634,167.10377047894542,934.9300647052024,306.35,15.0,0.5828,0.6165,0.6348,0.0353,0.5415,0.358,202.5,37.16,107.32,39.1,0.04,1002.1690346053709,931.0038410158286,111.453682524422,0.09972520357913181,0.11349456860788672,0.24929978570849642,1.5803458896928792e-05,0.2780840595416352,0.17429044623872944
2021-06-21 04:00:00,958.8,16.92342035606339,166.93381055511853,934.4584037615588,305.15,28.0,0.5082,0.5438000000000001,0.5768,0.0398,0.445,0.3363,202.5,37.16,107.24,39.1,0.04,977.0934395156969,906.4595831694043,109.88838226939347,0.09974275746809794,0.11166213466297348,0.24235827417768416,1.06678271855731e-05,0.27710264295405945,0.16792903245281254
2021-06-22 04:00:00,905.9,16.93638992400544,166.76914314011765,933.9561992940831,302.75,39.0,0.1223,0.0988,0.161,0.0285,0.1295,0.0758,202.5,37.16,107.18,39.08,0.04,967.193642941201,896.1498008193986,109.9109709686152,0.09990300895324908,0.11092122330322542,0.2390574152001853,9.461139437254992e-06,0.27690561691362703,0.16483979108531016
2021-06-26 04:00:00,874.5,17.05602252457929,166.17099263822948,931.6444589493932,296.54999999999995,78.0,0.4043,0.429,0.4663,0.0638,0.3793,0.2995,202.5,37.16,107.14,39.14,0.04,957.0260928654611,879.1901613033083,116.50410011322468,0.10105643696958148,0.11179675842004441,0.23772753742448435,8.73990032183464e-06,0.2813903853426843,0.15898902549293578
