Time,index,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,rh,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C05,WSA_C05,BSA_C06,WSA_C06,site
2021-05-26 03:00:00,342,897.4,22.259368713903623,123.23627843240476,887.7280667001364,300.60999999999996,40.52,0.1538,0.154,0.2895,0.0325,0.171,0.1015,196.64,41.88,124.04,51.92,1.48,0.071,0.152,0.0,0.121,0.252,0.0,0.366,0.284,0.044,0.209,0.426,0.009,0.149,0.109,0.027,0.070961666194038,0.0997559679999999,0.1209364465848525,0.168674368,0.3083958381025984,0.3591128879999999,0.1971245452861008,0.277193786,0.113668453089681,0.132425262,FQA
2021-05-29 02:00:00,353,888.2,33.323345480768424,104.23551881207074,784.9946798549216,302.54999999999995,33.82,0.1365,0.135,0.2325,0.032,0.1498,0.0963,196.64,41.88,104.64,50.36,1.48,0.077,0.117,0.005,0.139,0.217,0.013,0.361,0.256,0.06,0.25,0.199,0.053,0.146,0.19,0.018,0.0737197443680587,0.092246418,0.1279489296814999,0.162143842,0.2884291145793219,0.326773784,0.1851108408830575,0.21463365,0.1275032334845907,0.157147764,FQA
2021-05-12 07:00:00,315,623.3,39.41299932335465,255.4491268173659,719.7519515708467,300.5,43.36,0.152,0.1233,0.2638,0.0273,0.1395,0.0758,196.56,41.86,255.9,69.24,1.68,0.06,0.015,0.002,0.091,0.043,0.001,0.39,0.342,0.0,0.214,0.132,0.031,0.154,0.0,0.04,0.0581843582244039,0.0600825159999999,0.092185102874271,0.09775729,0.4101628148345801,0.454700928,0.1799325147856441,0.196266006,0.1000004848086236,0.09889512,FQA
2021-05-29 01:00:00,352,752.9,45.46121933459487,93.31854236850214,633.2902697755012,300.06,39.34,0.118,0.1168,0.2033,0.03,0.1323,0.0798,196.72,41.88,93.62,50.68,1.4,0.077,0.117,0.005,0.139,0.217,0.013,0.361,0.256,0.06,0.25,0.199,0.053,0.146,0.19,0.018,0.0820182054103879,0.092246418,0.1432067646660426,0.162143842,0.3048311521688178,0.326773784,0.1976333344569257,0.21463365,0.1406258646436426,0.157147764,FQA
2021-05-21 04:00:00,327,1019.6,15.362854646610302,162.94154878808232,933.0972261987148,300.03,55.56,0.1908,0.1873,0.2843,0.0488,0.155,0.101,196.64,41.88,164.74,55.26,1.52,0.066,0.145,0.0,0.099,0.051,0.0,0.377,0.304,0.039,0.2,0.123,0.029,0.144,0.111,0.03,0.0650215225652411,0.09343168,0.0986558458677744,0.108648384,0.3244022479561796,0.380784678,0.1615842534864777,0.183318594,0.1043691713526633,0.1236707639999999,FQA
2021-05-09 06:00:00,309,766.6,28.54810831095751,238.52464274879375,844.3507978974974,299.82,47.0,0.1483,0.1213,0.3048,0.0273,0.1585,0.087,196.56,41.86,239.24,65.46000000000001,1.68,0.063,0.011,0.007,0.099,0.026,0.012,0.392,0.335,0.0,0.208,0.129,0.031,0.143,0.0,0.032,0.0538941990875893,0.05543767,0.0834818470467331,0.08738732,0.3963050198496045,0.45537664,0.1687060463454552,0.189698454,0.1007272696084846,0.0989160959999999,FQA
2021-05-09 07:00:00,310,624.6,39.82661750514402,254.4238290306574,718.0018378679443,300.9,46.6,0.1348,0.1088,0.2665,0.0265,0.139,0.0735,196.56,41.86,254.88,69.96000000000001,1.68,0.063,0.011,0.007,0.099,0.026,0.012,0.392,0.335,0.0,0.208,0.129,0.031,0.143,0.0,0.032,0.054217248701857,0.05543767,0.0843826562228558,0.08738732,0.4125797812226356,0.45537664,0.1740370852093415,0.189698454,0.0997611185899954,0.0989160959999999,FQA
2021-05-08 05:00:00,306,911.1,20.069001209376765,209.7851223009069,915.5354424053662,305.19,21.94,0.139,0.129,0.331,0.0288,0.1753,0.1063,196.64,41.88,211.18,61.66,1.52,0.064,0.029,0.007,0.1,0.048,0.011,0.393,0.348,0.0,0.208,0.129,0.03,0.143,0.0,0.033,0.0547865055659557,0.0598429819999999,0.0855142081771803,0.09392699,0.3919334007725248,0.458836032,0.1684991462783542,0.191076076,0.0999839759360136,0.0975384739999999,FQA
2021-05-29 06:00:00,357,854.2,25.65799483920547,245.3392983106018,859.7547696515795,308.90999999999997,23.0,0.1445,0.1488,0.2563,0.0295,0.19,0.1198,196.56,41.86,246.04,61.36,1.68,0.077,0.117,0.005,0.139,0.217,0.013,0.361,0.256,0.06,0.25,0.199,0.053,0.146,0.19,0.018,0.0711076259478244,0.092246418,0.1231729148773579,0.162143842,0.2836179374076151,0.326773784,0.1814881127353634,0.21463365,0.1234434374705273,0.157147764,FQA
2021-05-08 06:00:00,307,808.9,28.72279388584029,238.100365022665,843.934870892673,306.63,20.57,0.1343,0.1208,0.3108,0.0285,0.1628,0.096,196.56,41.86,238.82,65.72,1.68,0.064,0.029,0.007,0.1,0.048,0.011,0.393,0.348,0.0,0.208,0.129,0.03,0.143,0.0,0.033,0.0551367403240569,0.0598429819999999,0.0861044108587205,0.09392699,0.3976413465501815,0.458836032,0.1700774767731161,0.191076076,0.099392675382983,0.0975384739999999,FQA
