AKA,ALF,ASA,BJC,BJF,BNF,CBF,CLD,CSA,CWA,DHF,DHL,DYB,ESD,FKD,FQA,GGF,GGS,HBG,HJA,HLA,HSF,HTF,JZB,LCA,LSA,LZD,MXF,NMD,NMG,PDF,QYA,QYF,SJM,SNF,SPD,SYA,SYB,THL,TYA,YCA,YGA,YTA
0,NaN,0,0,0,0,2,0,NaN,0,18.5,0,NaN,0,0,0,NaN,0,NaN,0,0,2.4,0,0,0,0,0,0,0,0,0,-1.7,NaN,9,NaN,NaN,NaN,0,0,NaN,0,0,3.8
0,NaN,0,16.4,24,4.7,48.5,0,NaN,0,229.7,65.2,NaN,0,0,119.1,NaN,6.1,NaN,5.1,5.2,37.2,6.8,64.2,-2.5,0,0,0,61,2.3,1.9,120.8,NaN,141.2,NaN,NaN,NaN,19.8,171,NaN,78.9,0,192.3
0,NaN,70.4,79.4,36.5,75.2,233.9,0,NaN,112.2,450.6,290.6,NaN,49.2,0,NaN,NaN,40.1,NaN,50.9,22.7,72.4,56.3,223.8,-3.2,3.7,24.9,0.7,219.1,74.7,30.7,437.7,NaN,262.3,NaN,NaN,NaN,56.7,334.1,NaN,228.4,7.9,393.9
0,NaN,379.5,228,119.5,213.2,367.3,0,NaN,280.4,627.3,436.6,NaN,218.5,12.5,201,NaN,107.4,NaN,183.4,36.2,512.5,118.3,358.4,-1.7,210.5,203.6,19.3,345.1,318.5,40.2,494.5,NaN,339.8,NaN,NaN,NaN,432.1,475.5,NaN,349.7,23.6,537.3
29.3,NaN,455.5,251.6,74.9,301.7,432.9,51.8,NaN,393.3,756.3,548.2,NaN,337.3,83.8,415.9,NaN,187.6,NaN,289.7,45.8,656.2,164.8,446.3,105.3,418,325.5,83.5,464,466,64,634.5,NaN,366.7,NaN,NaN,NaN,600.4,577.5,NaN,438.7,68.4,649.1
182.5,NaN,563.2,389.2,52.5,638.3,530.4,304,NaN,468.9,806.7,581.8,NaN,426.9,95.6,629.2,NaN,246.5,NaN,371.7,217.1,694.2,186.5,468.2,272.5,566.6,428.7,190.6,479.1,551,86.8,699.9,NaN,348.7,NaN,NaN,NaN,712.7,625.3,NaN,463.2,92.8,695.3
363.5,NaN,578.2,360.9,41.5,714.1,404.8,330.8,NaN,480.7,777.1,565.8,NaN,472.7,166.5,469.5,NaN,304.4,NaN,492.3,202.7,682.7,182.5,415.1,406.3,666.2,495.4,167.1,435.3,609.1,144.5,672.5,NaN,182.3,NaN,NaN,NaN,757,592,NaN,439,106.8,652.8
446.9,NaN,510.6,233.4,35.7,690.6,120.9,387.3,NaN,543.1,679.6,481.6,NaN,486.9,161.9,220.1,NaN,584.1,NaN,497.1,169,601.6,171,343.6,485.9,714.4,385.6,145.6,368.6,540.6,125.9,577.1,NaN,140.5,NaN,NaN,NaN,725.2,483.2,NaN,347,107.4,551.8
479.4,NaN,466.9,131.2,27.1,177.1,41.2,460,NaN,414.2,496,326.3,NaN,420.4,125.7,283.1,NaN,474.5,NaN,576.9,109.2,450.8,154.1,206.5,502.7,704,242.5,89.5,239.4,370.4,94.6,455.5,NaN,20,NaN,NaN,NaN,763.2,323.1,NaN,179.4,27.1,391.6
470.2,NaN,257,31.2,6.3,424,0,477.2,NaN,306.3,268.7,146,NaN,308.3,126.3,47.6,NaN,98,NaN,409.3,9.5,262.6,115.2,82.3,NaN,604,151.1,61.8,34.7,NaN,51.1,61.4,NaN,0,NaN,NaN,NaN,509.8,145.8,NaN,80.8,31.2,199.1
392.3,NaN,75.8,0,0,216.4,0,411.7,NaN,103.6,49.1,11.4,NaN,155.1,81.9,0,NaN,55.5,NaN,62.3,0,31.6,61.8,0,0,440.3,208.2,17.4,0,0,18.9,28.2,NaN,0,NaN,NaN,NaN,286.1,5.4,NaN,0,17.6,12.9
207.1,NaN,0,0,0,43.5,0,325,NaN,0,0,0,NaN,0,9.4,0,NaN,10.1,NaN,19.9,0,0,13.7,0,0,230.9,0,21.3,0,0,3,0,NaN,0,NaN,NaN,NaN,55.7,0,NaN,0,-0.5,0
63.8,NaN,0,0,0,0,0,185.8,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,3.3,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
