index,Time,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,RH,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele
12,2021-06-22 04:00:00,905.9,16.93638992400544,166.76914314011765,933.9561992940831,302.75,39.0,0.1223,0.0988,0.161,0.0285,0.1295,0.0758,202.5,37.16,107.18,39.08,0.04
13,2021-06-26 04:00:00,874.5,17.05602252457929,166.17099263822948,931.6444589493931,296.54999999999995,78.0,0.4043,0.429,0.4663,0.0638,0.3793,0.2995,202.5,37.16,107.14,39.14,0.04
14,2021-06-27 04:00:00,913.1,17.1026737872336,166.0382674714595,930.9910414076631,302.45,57.0,0.7113,0.8325,0.8360000000000001,0.2543,0.1855,0.2068,202.5,37.16,107.2,39.18,0.04
15,2021-06-30 04:00:00,898.8,17.2821723750897,165.68523032422422,928.8488721788659,300.45,71.0,0.467,0.489,0.5288,0.0698,0.335,0.2568,202.5,37.16,107.44,39.3,0.04
16,2021-07-02 04:00:00,998.9,17.43433767637822,165.49015421436727,927.2679119287366,300.04999999999995,59.0,0.6655,0.7583000000000001,0.7733,0.28,0.2285,0.2615,202.5,37.16,107.7,39.42,0.04
17,2021-07-03 04:00:00,963.9,17.520017147854844,165.40541641690848,926.4310833468561,297.65,65.0,0.6315000000000001,0.7188,0.7425,0.2635,0.2025,0.2313,202.5,37.16,107.88,39.5,0.04
18,2021-07-04 04:00:00,993.4,17.612019793872946,165.32948490024089,925.5630832355794,301.54999999999995,60.0,0.6025,0.6748000000000001,0.6818000000000001,0.0548,0.3973,0.2795,202.5,37.16,108.06,39.58,0.04
19,2021-07-06 04:00:00,996.8,17.81475673631884,165.20472581786908,923.7326109063631,297.95,83.0,0.153,0.1275,0.23,0.039,0.1408,0.077,202.5,37.16,108.48,39.76,0.04
20,2021-07-08 04:00:00,924.2,18.04205423381508,165.1170124589319,921.774347954817,303.75,57.0,0.1325,0.102,0.2238,0.0303,0.1498,0.075,202.5,37.16,108.96,39.96,0.04
21,2021-07-23 04:00:00,914.9,20.476180344764273,165.65366322048214,904.5519458471795,302.84999999999997,56.0,0.1645,0.1805,0.301,0.0278,0.2098,0.1075,202.5,37.16,114.7,42.32,0.04
22,2021-07-24 04:00:00,893.9,20.681053639452855,165.7589324202308,903.227771409291,303.54999999999995,67.0,0.3798,0.3895,0.467,0.0343,0.39,0.2758,202.5,37.16,115.18,42.52,0.04
23,2021-07-30 04:00:00,863.3,22.0130039337689,166.53543941148732,894.3987497872721,300.54999999999995,67.0,0.1295,0.1008,0.268,0.027,0.1405,0.0613,202.5,37.16,118.36,43.88,0.04
24,2021-07-31 04:00:00,890.9,22.251616719350523,166.68638551452923,892.773072852908,303.84999999999997,63.0,0.1458,0.113,0.2812,0.0288,0.156,0.0818,202.5,37.16,118.92,44.12,0.04
25,2021-08-02 04:00:00,920.4,22.742574359826165,167.0043179867644,889.3830647671649,302.75,45.0,0.1305,0.0985,0.2783,0.0275,0.138,0.0585,202.5,37.16,120.06,44.62,0.04
26,2021-08-05 04:00:00,862.7,23.512416666161442,167.51751094367484,883.9409164197255,302.45,64.0,0.1318,0.0923,0.0788,0.0288,0.095,0.0523,202.4,37.2,121.86,45.52,0.04
27,2021-08-06 04:00:00,808.8,23.777683630104363,167.697274865806,882.0288997555615,302.34999999999997,56.0,0.123,0.0828,0.069,0.026,0.0805,0.0368,202.4,37.2,122.44,45.78,0.04
28,2021-08-10 04:00:00,857.1,24.88024013907956,168.45369489731522,873.8736815121182,302.34999999999997,59.0,0.4658,0.4813,0.51,0.039,0.4045,0.2855,202.4,37.2,124.88,46.94,0.04
29,2021-08-17 04:00:00,884.7,26.958880277415012,169.8880553427121,859.0265695557537,300.54999999999995,56.0,0.3848,0.4043,0.3965,0.029,0.4033,0.2615,202.4,37.2,129.26,49.1,0.04
30,2021-08-23 03:00:00,726.3,33.32443812627939,143.7873608279345,802.9175783468912,301.0833333333333,64.33333333333333,0.2223,0.2348,0.2848,0.0783,0.1823,0.1318,202.48,37.22,113.56,50.58,0.04
31,2021-08-24 03:00:00,818.2,33.597019261952724,144.17670751476874,801.1830276797681,296.6166666666667,68.66666666666667,0.5398000000000001,0.602,0.634,0.1268,0.1615,0.1738,202.48,37.22,114.08,50.92,0.04
32,2021-08-26 03:00:00,849.6,34.151020551462366,144.95445919067865,797.5618289963223,300.2833333333333,41.0,0.3955,0.395,0.408,0.094,0.2108,0.1938,202.48,37.22,115.14,51.6,0.04
33,2021-08-27 03:00:00,840.9,34.432392352968854,145.34241607620706,795.6740365434697,298.84999999999997,45.666666666666664,0.5133,0.54,0.5698,0.043,0.4388,0.2893,202.48,37.22,115.68,51.94,0.04
34,2021-08-29 03:00:00,770.5,35.003726888190485,146.11542897771227,791.7415711215883,298.51666666666665,60.333333333333336,0.1473,0.1123,0.1635,0.0318,0.1133,0.0533,202.48,37.22,116.74,52.64,0.04
