Time,index,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,rh,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C05,WSA_C05,BSA_C06,WSA_C06,site
2021-04-28 05:00:00,219,881.5,27.83006034762252,205.48125831156676,889.7623440695517,293.98999999999995,14.62,0.1595,0.15,0.2365,0.0328,0.1958,0.1418,197.72,47.8,206.18,75.54,1.32,0.09,0.031,0.019,0.132,0.067,0.032,0.313,0.137,0.078,0.234,0.008,0.055,0.169,0.023,0.043,0.0652710298621994,0.0696898859999999,0.0905128099545649,0.1005914239999999,0.2115874625820871,0.231463692,0.1615230161496181,0.159744262,0.1125191506588175,0.114113486,BJC
2021-04-18 06:00:00,191,713.6,37.35467269658244,226.21686282800076,798.2069595495457,295.17999999999995,17.61,0.1493,0.1395,0.198,0.029,0.1855,0.1365,197.72,47.8,226.68,82.12,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0703905590923175,0.074502194,0.1052250892462263,0.114783592,0.1838520255905094,0.198211476,0.1588035608429521,0.158121884,0.1220189600362139,0.123981366,BJC
2021-04-14 06:00:00,176,749.6,38.405825523573775,224.62605135720673,790.1630520462032,293.90999999999997,14.69,0.1503,0.1408,0.1933,0.0283,0.1825,0.134,197.72,47.8,225.08,83.44,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.23,0.008,0.054,0.184,0.025,0.047,0.0705200298713897,0.074502194,0.1055476233703955,0.114783592,0.1843165263292784,0.198211476,0.1576854790521594,0.157121884,0.1220186019890291,0.123981366,BJC
2021-04-18 07:00:00,192,591.0,46.74754621645776,243.28128628287064,670.7957269691987,296.78,16.43,0.135,0.115,0.157,0.028,0.1535,0.107,197.72,47.8,243.62,85.36,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0719850581473284,0.074502194,0.1091053652208019,0.114783592,0.1895199718883949,0.198211476,0.1577613782309345,0.158121884,0.1222796195907018,0.123981366,BJC
2021-04-14 08:00:00,178,413.1,58.26883971249998,254.64433720240737,491.1889305193178,294.81,13.95,0.114,0.091,0.101,0.0278,0.1148,0.077,197.72,47.8,254.9,89.54,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.23,0.008,0.054,0.184,0.025,0.047,0.0755750203968523,0.074502194,0.1175677875342678,0.114783592,0.2021243417845923,0.198211476,0.1556430328688972,0.157121884,0.1236565012798926,0.123981366,BJC
2021-04-19 05:00:00,197,710.2,30.51526528764709,202.74580183076665,874.5219639698859,296.62,29.63,0.1618,0.1543,0.2158,0.0303,0.2028,0.1488,197.72,47.8,203.4,78.34,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0697967368755102,0.074502194,0.1036981216337789,0.114783592,0.1816942912793149,0.198211476,0.1595588199779672,0.158121884,0.1221580548879531,0.123981366,BJC
2021-04-20 06:00:00,203,646.3,36.846145251704755,227.01043439419067,801.9995317424114,298.12,33.92,0.1585,0.144,0.1955,0.0308,0.184,0.1273,197.72,47.8,227.48,81.46000000000001,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0703318797483927,0.074502194,0.1050781188235124,0.114783592,0.1836410500728922,0.198211476,0.1588606207587309,0.158121884,0.1220214010485928,0.123981366,BJC
2021-04-20 05:00:00,202,694.0,30.203579873423703,203.05053322205364,876.4570095006296,297.09999999999997,37.45,0.164,0.154,0.215,0.03,0.201,0.141,197.72,47.8,203.72,78.02,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0697788403662444,0.074502194,0.1036497249500907,0.114783592,0.1816279007226608,0.198211476,0.1595922409162293,0.158121884,0.1221691037289185,0.123981366,BJC
2021-04-20 03:00:00,200,701.8,32.76028360222216,145.13481789593078,849.3311174815889,294.78,46.86,0.1548,0.1408,0.1848,0.0288,0.1718,0.115,197.72,47.8,145.74,71.34,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.069947655143496,0.074502194,0.1040977954710898,0.114783592,0.1822493149750349,0.198211476,0.159314863391944,0.158121884,0.1220892473197368,0.123981366,BJC
2021-04-26 07:00:00,214,578.2,45.126213654604264,246.2980077220352,685.3473919982872,294.28,44.34,0.1818,0.185,0.1915,0.029,0.1948,0.1245,197.72,47.8,246.62,82.82000000000001,1.32,0.093,0.033,0.02,0.142,0.072,0.034,0.298,0.131,0.074,0.24,0.008,0.057,0.181,0.025,0.046,0.0689033220102505,0.071690632,0.1026044554654243,0.1087820999999999,0.2097204292761147,0.220839076,0.1628341575071849,0.1629890179999999,0.1205554815265247,0.122358988,BJC
2021-04-20 07:00:00,204,531.4,46.32845384338759,244.05048858827075,674.6939938681443,299.14,30.39,0.1438,0.1208,0.1568,0.0303,0.154,0.1008,197.72,47.8,244.38,84.7,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0718911155705951,0.074502194,0.1088803812812181,0.114783592,0.1891881132571451,0.198211476,0.1578065081729016,0.158121884,0.1222537948652776,0.123981366,BJC
2021-05-11 01:00:00,265,591.3,46.567705332848334,104.0130904805149,648.6508550737378,288.75,70.37,0.145,0.1253,0.1663,0.0378,0.1343,0.0903,197.72,47.8,104.32,60.28,1.32,0.093,0.032,0.02,0.134,0.069,0.033,0.312,0.137,0.077,0.239,0.008,0.056,0.171,0.023,0.043,0.069095419820078,0.071501448,0.0963503766186014,0.10159217,0.221494680383444,0.231841314,0.1630361009590231,0.1633666399999999,0.1145362406793008,0.116113486,BJC
2021-05-02 04:00:00,227,928.8,24.703943300394116,173.26453252809347,912.7608434238804,290.88,21.04,0.1475,0.1373,0.2185,0.03,0.1828,0.1278,197.72,47.8,174.1,70.92,1.32,0.09,0.031,0.019,0.132,0.067,0.032,0.313,0.137,0.078,0.236,0.008,0.056,0.171,0.023,0.043,0.0651834050380526,0.0696898859999999,0.090261072019815,0.1005914239999999,0.2111591650025129,0.231463692,0.162532547806566,0.1603666399999999,0.1146529653981091,0.116113486,BJC
