10,0.0060945,0.0060919,0.0053119,7.8096e-05,0.0053075
15,0.011598,0.011604,0.0093837,0.00084859,0.0093677
20,0.018772,0.018777,0.015413,0.00076985,0.015391
25,0.027549,0.027555,0.02279,0.00055605,0.02277
30,0.037867,0.037882,0.029967,0.0023935,0.029896
35,0.049661,0.049687,0.03695,0.01441,0.03691
40,0.06287,0.062897,0.048642,0.0060954,0.048513
45,0.077432,0.077466,0.05984,0.0063066,0.059694
50,0.093288,0.093331,0.070463,0.013264,0.070222
55,0.11038,0.11044,0.080029,0.038378,0.080205
60,0.12865,0.12871,0.095205,0.021905,0.094878
65,0.14804,0.14806,0.11019,0.019475,0.10977
70,0.16849,0.1685,0.12088,0.055146,0.12073
75,0.18996,0.18997,0.13628,0.053891,0.13617
80,0.21238,0.2124,0.15469,0.033065,0.15392
85,0.23571,0.23574,0.16675,0.075727,0.16691
90,0.2599,0.25994,0.18417,0.067681,0.18351
95,0.28489,0.28494,0.19959,0.090995,0.20004
100,0.31064,0.3107,0.21612,0.10517,0.21655
105,0.33709,0.33716,0.23788,0.069883,0.23725
110,0.36421,0.36428,0.26006,0.05451,0.25917
115,0.39195,0.39203,0.27652,0.064158,0.27528
120,0.42026,0.4203,0.28854,0.11937,0.28831
125,0.4491,0.4491,0.30781,0.11857,0.3076
130,0.47842,0.47844,0.32509,0.14383,0.32587
135,0.50819,0.50821,0.34818,0.1161,0.34782
140,0.53836,0.53839,0.37337,0.080246,0.37191
145,0.5689,0.56895,0.38441,0.14874,0.38413
150,0.59977,0.59984,0.39553,0.21242,0.39785
155,0.63093,0.63101,0.42527,0.12473,0.42443
160,0.66234,0.6624,0.4624,0.03919,0.45983
165,0.69397,0.69404,0.46141,0.1447,0.45965
170,0.72579,0.72579,0.4756,0.18528,0.47468
175,0.75775,0.75777,0.4965,0.17768,0.49565
180,0.78984,0.78985,0.53176,0.090162,0.52916
185,0.82201,0.82203,0.54924,0.10566,0.54661
190,0.85424,0.85427,0.57461,0.080945,0.57231
195,0.88649,0.88655,0.59021,0.080139,0.58662
200,0.91875,0.91884,0.57919,0.26266,0.58355
205,0.95097,0.95099,0.607,0.19073,0.60447
210,0.98314,0.98314,0.63156,0.15573,0.62896
215,1.0152,1.0152,0.68277,0.039218,0.67886
220,1.0472,1.0472,0.66018,0.19442,0.65755
225,1.0791,1.0791,0.66608,0.28482,0.66647
230,1.1107,1.1108,0.72833,0.072152,0.72472
235,1.1423,1.1422,0.77695,0.019197,0.7737
240,1.1736,1.1735,0.76817,0.082324,0.76489
245,1.2047,1.2047,0.73385,0.26281,0.73295
250,1.2355,1.2355,0.76018,0.21297,0.76055
255,1.2661,1.2661,0.82788,0.045502,0.82328
260,1.2964,1.2963,0.86538,0.025882,0.86182
265,1.3264,1.3263,0.85904,0.077547,0.85598
270,1.3562,1.356,0.89793,0.026259,0.89431
275,1.3855,1.3856,0.82146,0.26194,0.82115
280,1.4146,1.4146,0.85939,0.19087,0.85724
285,1.4432,1.4432,0.90461,0.11126,0.90141
290,1.4715,1.4713,0.96373,0.034663,0.96021
295,1.4994,1.4992,0.97369,0.038885,0.97016
300,1.5269,1.5269,0.90713,0.20088,0.90715
305,1.554,1.5538,1.0196,0.023833,1.0162
310,1.5807,1.5804,1.0264,0.055435,1.0232
315,1.6069,1.6065,1.0659,0.024524,1.0634
320,1.6327,1.6326,0.99763,0.13177,0.99562
325,1.658,1.658,1.0077,0.11384,1.0057
330,1.6829,1.6826,1.0727,0.068674,1.0694
335,1.7073,1.7069,1.0969,0.047847,1.0938
340,1.7312,1.7309,1.1042,0.055744,1.1016
345,1.7546,1.7543,1.1083,0.064845,1.1054
350,1.7776,1.7775,1.0395,0.13458,1.037
355,1.8,1.7997,1.1096,0.073554,1.1062
360,1.8219,1.8207,1.2569,0.0063434,1.2552
365,1.8433,1.8422,1.2271,0.03443,1.2248
370,1.8642,1.8636,1.1803,0.049827,1.1781
375,1.8846,1.8838,1.2251,0.036533,1.2232
380,1.9044,1.9034,1.2412,0.045135,1.2387
385,1.9237,1.9221,1.3115,0.023165,1.3096
390,1.9425,1.9413,1.3047,0.021126,1.3031
395,1.9607,1.9605,1.1454,0.096344,1.1428
400,1.9784,1.9765,1.3901,0.0096306,1.389
405,1.9956,1.9926,1.4696,0.0019738,1.4687
410,2.0122,2.0093,1.4724,0.0020366,1.4715
415,2.0283,2.0276,1.2167,0.089781,1.2141
420,2.0439,2.0428,1.3328,0.017367,1.3311
425,2.0589,2.0562,1.4555,0.0097763,1.4539
430,2.0734,2.0707,1.4548,0.015446,1.4533
435,2.0873,2.0844,1.4976,0.005772,1.4973
440,2.1007,2.0989,1.3743,0.035438,1.3725
445,2.1135,2.1103,1.5314,0.0044867,1.5309
450,2.1258,2.1231,1.4994,0.0071646,1.4985
455,2.1376,2.136,1.3485,0.048088,1.3467
460,2.1488,2.1446,1.5908,0.002762,1.5904
465,2.1596,2.156,1.5572,0.0041017,1.5561
470,2.1698,2.1675,1.4072,0.037983,1.405
475,2.1794,2.1733,1.6675,0.0013288,1.6671
480,2.1886,2.1846,1.5201,0.017875,1.5191
485,2.1972,2.1905,1.6824,0.0012901,1.6821
490,2.2053,2.2,1.6144,0.0069724,1.6137
495,2.2129,2.2018,1.7828,0.00030119,1.7827
500,2.22,2.2165,1.5371,0.011142,1.5361
505,2.2266,2.2214,1.574,0.014104,1.5729
510,2.2327,2.2253,1.6935,0.0014851,1.693
515,2.2383,2.236,1.4407,0.01885,1.4395
520,2.2434,2.2344,1.7392,0.00058358,1.739
