0.00E+00,2.11E+02,2.90E+02,0.00E+00,2.90E+02
1.00E-03,2.11E+02,2.90E+02,7.96E-03,2.90E+02
1.17E-03,2.11E+02,2.90E+02,8.74E-03,2.90E+02
1.36E-03,2.11E+02,2.90E+02,9.58E-03,2.90E+02
1.58E-03,2.12E+02,2.90E+02,1.05E-02,2.90E+02
1.85E-03,2.12E+02,2.90E+02,1.14E-02,2.90E+02
2.15E-03,2.12E+02,2.90E+02,1.24E-02,2.90E+02
2.51E-03,2.12E+02,2.90E+02,1.35E-02,2.90E+02
2.93E-03,2.13E+02,2.90E+02,1.46E-02,2.90E+02
3.41E-03,2.13E+02,2.90E+02,1.58E-02,2.90E+02
3.98E-03,2.13E+02,2.90E+02,1.71E-02,2.90E+02
4.64E-03,2.13E+02,2.90E+02,1.85E-02,2.90E+02
5.41E-03,2.14E+02,2.90E+02,1.99E-02,2.90E+02
6.31E-03,2.14E+02,2.90E+02,2.15E-02,2.90E+02
7.36E-03,2.14E+02,2.90E+02,2.31E-02,2.90E+02
8.58E-03,2.14E+02,2.90E+02,2.49E-02,2.90E+02
1.00E-02,2.15E+02,2.90E+02,2.69E-02,2.90E+02
1.17E-02,2.15E+02,2.90E+02,2.89E-02,2.90E+02
1.36E-02,2.15E+02,2.90E+02,3.12E-02,2.90E+02
1.58E-02,2.15E+02,2.90E+02,3.37E-02,2.90E+02
1.85E-02,2.16E+02,2.90E+02,3.63E-02,2.90E+02
2.15E-02,2.16E+02,2.90E+02,3.92E-02,2.90E+02
2.51E-02,2.16E+02,2.90E+02,4.24E-02,2.90E+02
2.93E-02,2.16E+02,2.90E+02,4.59E-02,2.90E+02
3.41E-02,2.17E+02,2.90E+02,4.97E-02,2.90E+02
3.98E-02,2.17E+02,2.90E+02,5.38E-02,2.90E+02
4.64E-02,2.17E+02,2.90E+02,5.83E-02,2.90E+02
5.41E-02,2.18E+02,2.90E+02,6.33E-02,2.90E+02
6.31E-02,2.20E+02,2.90E+02,6.92E-02,2.90E+02
7.36E-02,2.22E+02,2.90E+02,7.65E-02,2.90E+02
8.58E-02,2.25E+02,2.90E+02,8.59E-02,2.90E+02
1.00E-01,2.29E+02,2.90E+02,9.74E-02,2.90E+02
1.17E-01,2.32E+02,2.90E+02,1.11E-01,2.90E+02
1.36E-01,2.35E+02,2.90E+02,1.29E-01,2.90E+02
1.58E-01,2.38E+02,2.90E+02,1.49E-01,2.90E+02
1.85E-01,2.41E+02,2.90E+02,1.74E-01,2.90E+02
2.15E-01,2.45E+02,2.90E+02,2.04E-01,2.90E+02
2.51E-01,2.48E+02,2.90E+02,2.39E-01,2.90E+02
2.93E-01,2.52E+02,2.90E+02,2.82E-01,2.90E+02
3.41E-01,2.55E+02,2.90E+02,3.33E-01,2.90E+02
3.98E-01,2.59E+02,2.91E+02,3.94E-01,2.90E+02
4.64E-01,2.62E+02,2.91E+02,4.68E-01,2.90E+02
5.41E-01,2.66E+02,2.91E+02,5.57E-01,2.90E+02
6.31E-01,2.69E+02,2.91E+02,6.65E-01,2.90E+02
7.36E-01,2.73E+02,2.91E+02,7.94E-01,2.90E+02
8.58E-01,2.76E+02,2.91E+02,9.48E-01,2.90E+02
1.00E+00,2.76E+02,2.91E+02,1.12E+00,2.89E+02
1.17E+00,2.75E+02,2.90E+02,1.31E+00,2.89E+02
1.36E+00,2.73E+02,2.90E+02,1.50E+00,2.89E+02
1.58E+00,2.70E+02,2.90E+02,1.70E+00,2.89E+02
1.85E+00,2.67E+02,2.90E+02,1.90E+00,2.88E+02
2.15E+00,2.64E+02,2.90E+02,2.11E+00,2.88E+02
2.51E+00,2.61E+02,2.90E+02,2.33E+00,2.88E+02
2.93E+00,2.58E+02,2.90E+02,2.56E+00,2.87E+02
3.41E+00,2.55E+02,2.90E+02,2.80E+00,2.87E+02
